frame,ticks,ns
0,365093928,99016370
1,367971570,99818929
2,364436416,98859952
3,366130752,99319569
4,366638400,99457293
5,364852826,98972920
6,362835348,98425637
7,364429508,98858080
8,362721488,98394758
9,363169518,98516292
10,362685356,98384947
11,363068152,98488797
12,364666616,98922410
13,364132454,98777501
14,369469528,100225288
15,364160698,98785165
16,363553918,98620560
17,364248334,98808927
18,363721894,98666130
19,363409866,98581484
20,365510360,99151281
21,363806516,98689081
22,361220886,97987675
23,361706024,98119282
24,362056460,98214349
25,361871508,98164176
26,361332670,98018014
27,361218046,97986911
28,361424964,98043040
29,362866162,98433995
30,362602098,98362363
31,361272110,98001571
32,361057066,97943244
33,361135364,97964487
34,362728476,98396644
35,363016438,98474731
36,361069012,97946483
37,361328558,98016893
38,361073410,97947679
39,362942550,98454716
40,362512096,98337956
41,362238822,98263814
42,362709564,98391514
43,362027040,98206374
44,363265124,98542219
45,363773340,98680093
46,363446408,98591399
47,364549262,98890565
48,365260684,99083302
49,366710012,99476709
50,366316616,99369994
51,364001300,98741923
52,363777890,98681327
53,364529276,98885143
54,366594166,99445284
55,366666274,99464842
56,367905664,99801046
57,368799848,100043616
58,367836864,99782399
59,366595182,99445569
60,366105198,99312652
61,365416268,99125758
62,364240322,98806768
63,365819428,99235120
64,367090780,99580000
65,368132696,99862638
66,366075778,99304672
67,366999448,99555224
68,365662864,99192649
69,366619688,99452205
70,366576534,99440501
71,366423802,99399079
72,367833310,99781434
73,368217238,99885550
74,366416244,99397018
75,366420244,99398104
76,366652484,99461113
77,366487216,99416271
78,367687956,99741994
79,367163522,99599729
80,367892520,99797487
81,366128116,99318854
82,366473452,99412536
83,366365898,99383361
84,367245914,99622081
85,366960068,99544542
86,366316942,99370078
87,366350718,99379242
88,365165424,99057712
89,365761810,99219489
90,368071272,99845976
91,365567066,99166674
92,368513698,99966001
93,369276412,100172901
94,367112670,99585937
95,368817290,100048337
96,367255700,99624739
97,366428140,99400246
98,370464934,100495299
99,369606926,100262548
100,367533742,99700152
101,368769874,100035485
102,366193944,99336715
103,367306722,99638578
104,366503014,99420557
105,367656124,99733360
106,367305912,99638350
107,367092256,99580397
108,366249242,99351726
109,366260878,99354877
110,365555956,99163651
111,366238558,99348814
112,368044476,99838703
113,367740226,99756173
114,365562688,99165487
115,364619404,98909594
116,363505526,98607442
117,364664502,98921834
118,364329888,98831047
119,366658528,99462742
120,366666998,99465040
121,366664418,99464341
122,366396740,99391729
123,365858892,99245828
124,366760402,99490381
125,368026240,99833760
126,365901722,99257444
127,365204504,99068308
128,365246966,99079831
129,365557950,99164192
130,369879430,100336462
131,369039790,100108704
132,366804258,99502276
133,364028672,98749348
134,364717232,98936141
135,365003702,99013841
136,363368594,98570297
137,364560676,98893662
138,364198782,98795491
139,365505786,99150040
140,369070510,100117044
141,368218086,99885796
142,366508226,99421968
143,364824416,98965191
144,364636646,98914280
145,365163558,99057205
146,363222126,98530557
147,363216194,98528949
148,367416890,99668463
149,366867066,99519321
150,368411112,99938163
151,367380720,99658660
152,366635484,99456493
153,366840966,99512242
154,369530076,100241701
155,370347530,100463451
156,370320990,100456259
157,368535710,99971952
158,366382110,99387749
159,366725004,99480781
160,366329260,99373424
161,365725154,99209546
162,364903274,98986598
163,367081888,99577598
164,367913316,99803136
165,367474450,99684075
166,366353188,99379923
167,366786832,99497547
168,366715706,99478263
169,369148686,100138254
170,367644010,99730073
171,368197776,99880291
172,369194454,100150659
173,368913302,100074402
174,365174962,99060310
175,365308100,99096425
176,368962276,100087677
177,365416216,99125743
178,365682450,99197964
179,365470880,99140569
180,365864864,99247457
181,365931368,99265464
182,365345366,99106524
183,366012910,99287606
184,365952542,99271230
185,366671000,99466126
186,367967276,99817774
187,365295254,99092931
188,365121100,99045687
189,364243422,98807611
190,364658212,98920131
191,364248822,98809066
192,366594308,99445321
193,366180470,99333060
194,369206942,100154041
195,367787302,99768933
196,373100722,101210035
197,368803142,100044505
198,370429304,100485635
199,371186450,100691034
200,369147954,100138046
201,370514336,100508702
202,365284836,99090105
203,364714090,98935249
204,364473074,98869897
205,365429774,99129422
206,365441374,99132563
207,365259020,99083100
208,365374740,99114497
209,365383398,99116850
210,365424182,99127903
211,366191774,99336109
212,365783098,99225267
213,365648262,99188694
214,366704812,99475300
215,368193818,99879219
216,368438016,99945462
217,368648560,100002575
218,370372576,100470251
219,367646844,99730840
220,366598134,99446370
221,365134896,99049439
222,363568118,98624410
223,363896722,98713553
224,365118124,99044879
225,364181978,98790943
226,363059052,98486318
227,362591682,98359546
228,362870910,98435284
229,362406014,98309170
230,363523618,98612340
231,364430030,98858223
232,365256800,99082501
233,364681748,98926485
234,365175754,99060510
235,366619726,99452218
236,365620046,99181043
237,365406176,99123029
238,364628446,98912054
239,362679974,98383465
