frame,ticks,ns
0,383483838,104004557
1,384183564,104216725
2,377154046,102309842
3,375762636,101932388
4,376227386,102058468
5,375604266,101889431
6,376099536,102023790
7,376961014,102257475
8,376065782,102014632
9,375273172,101799631
10,376128514,102031647
11,375889668,101966855
12,374926136,101705481
13,375495008,101859808
14,375693836,101913743
15,375347158,101819692
16,372812672,101132171
17,372941822,101167211
18,372458054,101035980
19,373264824,101254823
20,373397252,101290746
21,373993374,101452462
22,376678908,102180952
23,376236144,102060846
24,376009784,101999448
25,376025368,102003665
26,375309118,101809373
27,375824904,101949299
28,375330248,101815114
29,375310122,101809625
30,375650266,101901901
31,374894658,101696942
32,374731712,101652750
33,375085548,101748715
34,367291860,99634545
35,364012334,98744902
36,365652318,99189791
37,365286348,99090515
38,364425574,98857011
39,364009764,98744228
40,363484762,98601804
41,364032528,98750392
42,364001550,98741989
43,363826820,98694592
44,363709812,98662848
45,363815520,98691528
46,362231286,98261774
47,362486720,98331066
48,361698292,98117196
49,361832446,98153590
50,361677680,98111604
51,361501260,98063740
52,361470638,98055434
53,361240664,97993046
54,361265064,97999669
55,361775944,98138251
56,361742132,98129082
57,362949940,98456733
58,362468612,98326152
59,362372850,98300174
60,362932852,98452095
61,362486900,98331114
62,362538366,98345076
63,362959296,98459261
64,362532232,98343421
65,362660646,98378256
66,362562296,98351566
67,362511098,98337677
68,362320330,98285936
69,362305016,98281775
70,362179042,98247600
71,361499096,98063151
72,361178602,97976211
73,361508778,98065778
74,362237530,98263471
75,362192770,98251331
76,361747620,98130570
77,361808628,98147118
78,360906566,97902418
79,360997440,97927067
80,361093578,97953160
81,360815734,97877789
82,360701010,97846646
83,361054316,97942508
84,360959788,97916868
85,361137006,97964930
86,361152650,97969174
87,361121086,97960587
88,361131324,97963388
89,360995996,97926678
90,360964410,97918112
91,361452732,98050573
92,361383238,98031726
93,363105788,98499008
94,362752196,98403079
95,362594634,98360338
96,362670874,98381027
97,362415578,98311767
98,361437278,98046386
99,360754622,97861203
100,360666932,97837390
101,360523170,97798425
102,360539224,97802782
103,360804340,97874690
104,360732616,97855229
105,360948736,97913859
106,360886104,97896866
107,360103274,97684522
108,360631462,97827802
109,360251048,97724596
110,360287466,97734471
111,360445432,97777335
112,360902314,97901270
113,360250550,97724459
114,360066950,97674658
115,360150652,97697369
116,360269598,97729639
117,360339620,97748625
118,360532418,97800925
119,359813652,97605955
120,360122410,97689704
121,360403234,97765881
122,360290236,97735238
123,360320608,97743472
124,360231856,97719389
125,360343140,97749572
126,360040184,97667404
127,360344920,97750074
128,360309168,97740363
129,360470126,97784021
130,360254372,97725510
131,360143396,97695397
132,360130894,97692005
133,360066640,97674580
134,360127778,97691165
135,359675922,97568586
136,359618506,97553021
137,359781868,97597314
138,361114506,97958827
139,360718648,97851444
140,359733496,97584212
141,359933932,97638572
142,360290602,97735329
143,360381272,97759932
144,359869002,97620961
145,359701912,97575636
146,359685202,97571113
147,360427696,97772500
148,360770544,97865518
149,360348882,97751137
150,360271202,97730073
151,361414686,98040254
152,360985320,97923788
153,360184546,97706566
154,360037594,97666695
155,359946724,97642054
156,360109852,97686297
157,359702152,97575701
158,360061292,97673104
159,360600394,97819365
160,360253430,97725246
161,360181158,97705650
162,360435340,97774600
163,360574070,97812199
164,360484638,97787962
165,360344330,97749901
166,360317328,97742584
167,360256148,97725988
168,360550198,97805747
169,360832986,97882460
170,360734498,97855744
171,360158582,97699519
172,360437518,97775184
173,360388696,97761937
174,360489640,97789315
175,360576410,97812865
176,359887738,97626045
177,360160018,97699906
178,360341588,97749164
179,360362024,97754707
180,360353866,97752487
181,360016746,97661038
182,360346660,97750533
183,360140070,97694501
184,360519248,97797346
185,360281396,97732841
186,360390322,97762389
187,360016058,97660854
188,360181450,97705716
189,360250622,97724479
190,360586090,97815493
191,360173612,97703592
192,360345440,97750203
193,360466232,97782968
194,360070358,97675591
195,360295944,97736775
196,359912800,97632818
197,359905500,97630869
198,359749672,97588589
199,359780554,97596976
200,360085506,97679690
201,362197342,98252570
202,366633644,99455970
203,367185144,99605598
204,366853492,99515632
205,369021340,100103698
206,372994662,101181544
207,371194464,100693196
208,373366978,101282537
209,373997034,101453429
210,374545798,101602318
211,374839106,101681871
212,374180344,101503177
213,374489452,101587021
214,374059204,101470308
215,373927768,101434657
216,374831728,101679874
217,374724362,101650758
218,374997918,101724955
219,374731170,101652591
220,374181500,101503492
221,373781150,101394884
222,373889908,101424365
223,373051418,101196940
224,373594102,101344142
225,374035410,101463857
226,373590170,101343088
227,373706428,101374608
228,373521730,101324509
229,372750670,101115358
230,373292896,101262445
231,372506574,101049139
232,372775220,101121986
233,372634200,101083753
234,370444960,100489882
235,370896602,100612399
236,371520838,100781732
237,371748880,100843599
238,370439610,100488428
239,369920672,100347664
