frame,render_ns,present_ns,total_ns,total_ticks
0,112692203,2313193,115005396,423955310
1,112569029,2298736,114867765,423447534
2,112623777,2325933,114949710,423749658
3,112551450,2296244,114847694,423373680
4,112573344,2309752,114883096,423503958
5,112524780,2314851,114839631,423343732
6,112576036,2292088,114868124,423448790
7,112555158,2316221,114871379,423460800
8,112627653,2294802,114922455,423649082
9,112627507,2309218,114936725,423701696
10,112651559,2377353,115028912,424041532
11,112626466,2385498,115011964,423979092
12,112602748,2337368,114940116,423714210
13,112575533,2313734,114889267,423526740
14,112591805,2329392,114921197,423644458
15,112581007,2236744,114817751,423263108
16,112576166,4964583,117540749,433301130
17,113041270,577443,113618713,418843034
18,112790028,616940,113406968,418062474
19,112679901,584001,113263902,417535034
20,112642584,602200,113244784,417464566
21,112535671,556091,113091762,416900414
22,112682304,583494,113265798,417541972
23,112516769,558345,113075114,416839034
24,112510050,552881,113062931,416794122
25,112647606,556952,113204558,417316216
26,112539986,559329,113099315,416928248
27,112505190,552617,113057807,416775232
28,112537440,552560,113090000,416893908
29,112504089,552361,113056450,416770234
