frame,ticks,ns
0,35319088,9553295
1,39469832,10706771
2,38757868,10513627
3,38181116,10357183
4,42105644,11421778
5,39868486,10814955
6,38557840,10459403
7,37827762,10261324
8,40638408,11023757
9,38336018,10399252
10,36826780,9989882
11,40183646,10900489
12,38865740,10542968
13,39147132,10619291
14,40564580,11003737
15,41697044,11310972
16,40285384,10928083
17,40407766,10961272
18,39443314,10699663
19,38051974,10322215
20,41277432,11197115
21,38012892,10311516
22,38560002,10459937
23,38872550,10544734
24,38245260,10374573
25,37893366,10279095
26,38428608,10424311
27,38637818,10481106
28,37650230,10213219
29,38093988,10333517
30,38247552,10375226
31,37568782,10191078
32,37259846,10107256
33,39133554,10615577
34,40133476,10886808
35,41075038,11142272
36,39318226,10665729
37,38937492,10562397
38,35899941,9738436
39,38840325,10536009
40,39272648,10653295
41,40084788,10873631
42,39212450,10637037
43,37697446,10226014
44,39240434,10644516
45,38969622,10571121
46,39222154,10639583
47,37173112,10083735
48,40502594,10986969
49,37344860,10130384
50,39006346,10581030
51,37987620,10304683
52,37763202,10243848
53,38700740,10498109
54,38168344,10353756
55,37637214,10209724
56,39840794,10807401
57,39810304,10799139
58,40592584,11011390
59,37888810,10277888
60,40011932,10853823
61,43403908,11774025
62,38147182,10348002
63,38120346,10340678
64,38982852,10574679
65,37693920,10224999
66,39845666,10808703
67,38594944,10469415
68,37182682,10086408
69,41291760,11201033
70,40796326,11066632
71,37765808,10244589
72,38897754,10551673
73,36425626,9880981
74,37901700,10281367
75,38503332,10444637
76,39330342,10668944
77,38822944,10531257
78,41546636,11270094
79,37580952,10194341
80,40400700,10959263
81,39937922,10833790
82,37714004,10230555
83,37585442,10195591
84,39396950,10686820
85,35372458,9595298
86,38842742,10536642
87,38561268,10460283
88,40719560,11045828
89,38489390,10440886
90,36445874,9886474
91,41684458,11307482
92,40139128,10888311
93,35256598,9563880
94,39027306,10586694
95,38781630,10520109
96,37991592,10305847
97,41412972,11233935
98,40451848,10973145
99,40444774,10971229
100,38152060,10349372
101,39072680,10599109
102,39625262,10748946
103,38745844,10510325
104,35751020,9697964
105,39672498,10761809
106,41281318,11198245
107,39143186,10618246
108,38711552,10501144
109,39638454,10752513
110,38284032,10385103
111,41211920,11179315
112,38127672,10342707
113,39438940,10698300
114,36852136,9996724
115,38395064,10415261
116,38552348,10457878
117,41648892,11297837
118,39689916,10766509
119,40582164,11008529
120,35120942,9527054
121,39435966,10697551
122,39522204,10720892
123,37862504,10270754
124,38070148,10327081
125,39098360,10606090
126,39568464,10733532
127,38690036,10495251
128,37681060,10221607
129,39694600,10767781
130,39218102,10638473
131,38096152,10334077
132,37713606,10230315
133,40015222,10854642
134,40346188,10944522
135,37803642,10254817
136,43674306,11847371
137,38679068,10492165
138,38151100,10349047
139,39895632,10822252
140,38196388,10361317
141,38966860,10570336
142,38267048,10380500
143,41275250,11196540
144,38863838,10542462
145,40448070,10972170
146,37085378,10059942
147,39171056,10625770
148,38718218,10502910
149,37743954,10238609
150,38915212,10556303
151,40341768,10943266
152,37473742,10165265
153,37829092,10261700
154,40255362,10919859
155,40324328,10938620
156,37716766,10231279
157,40530537,10994491
158,39363365,10677758
159,38558726,10459598
160,39862994,10813436
161,39476638,10708704
162,41276560,11196964
163,40362582,10949026
164,39437818,10698165
165,35178986,9542768
166,39253596,10648138
167,40040322,10861529
168,38915646,10556425
169,39001698,10579833
170,35956042,9753520
171,39794380,10794773
172,38339678,10400215
173,39824732,10803064
174,43753604,11868873
175,39048156,10592432
176,39862472,10813353
177,37006880,10038675
178,39668984,10760774
179,38404716,10417847
180,37448324,10158461
181,39015478,10583601
182,38233354,10371411
183,42062844,11410165
184,38521980,10449619
185,38514250,10447629
186,38520072,10448922
187,40877664,11088711
188,38992830,10577358
189,41249114,11189425
190,36925784,10016619
191,39415558,10692060
192,41063172,11138979
193,38293504,10387725
194,39939536,10834191
195,38331510,10397872
196,38756776,10513382
197,40807924,11069813
198,40740452,11051517
199,39279182,10655055
200,41074224,11141953
201,39703702,10770269
202,37723432,10233063
203,37858580,10269688
204,42536552,11538623
205,40671552,11032748
206,39579560,10736484
207,38881472,10547154
208,39490268,10712305
209,38595034,10469403
210,39177700,10627537
211,40047894,10863624
212,35341064,9586739
213,34472008,9351055
214,40089126,10874849
215,38340110,10400398
216,38886298,10548580
217,38070996,10327365
218,38846894,10537810
219,38896628,10551264
220,39488358,10711791
221,37024262,10043357
222,37905478,10282423
223,39373416,10680693
224,38388300,10413479
225,39850910,10810174
226,38434730,10425980
227,35888024,9735137
228,38522812,10449897
229,39455476,10702905
230,39524496,10721564
231,41117192,11153619
232,37841476,10265037
233,39026718,10586632
234,38223686,10368609
235,38019334,10313253
236,40008624,10852970
237,38453388,10431052
238,35800718,9711457
239,36979910,10031310
