elapsed_s,freq_mhz,busy_pct,bzy_mhz,tsc_mhz,temp_c,core_throttle_count,package_throttle_count,sampled_cpu_count
0.5,3447.0,65.23,5285.0,3686.0,79.0,0,0,1
1.0,5268.0,99.76,5280.0,3686.0,80.0,0,0,1
1.5,5270.0,99.76,5283.0,3686.0,79.0,0,0,1
2.0,5255.0,99.76,5268.0,3686.0,80.0,0,0,1
2.5,5268.0,99.76,5281.0,3686.0,80.0,0,0,1
3.0,5266.0,99.76,5279.0,3686.0,79.0,0,0,1
3.5,5271.0,99.76,5284.0,3686.0,79.0,0,0,1
4.0,5274.0,99.76,5287.0,3686.0,79.0,0,0,1
4.5,5274.0,99.76,5287.0,3686.0,82.0,0,0,1
5.0,5260.0,99.76,5273.0,3686.0,78.0,0,0,1
5.5,5239.0,99.76,5251.0,3686.0,79.0,0,0,1
6.0,5203.0,99.76,5216.0,3686.0,79.0,0,0,1
6.5,5232.0,99.76,5245.0,3686.0,80.0,0,0,1
7.0,5262.0,99.76,5275.0,3686.0,79.0,0,0,1
7.5,5265.0,99.76,5278.0,3686.0,80.0,0,0,1
8.0,5268.0,99.76,5281.0,3686.0,79.0,0,0,1
8.5,5271.0,99.76,5283.0,3686.0,80.0,0,0,1
9.0,5269.0,99.76,5282.0,3686.0,80.0,0,0,1
9.5,5271.0,99.76,5284.0,3686.0,79.0,0,0,1
10.0,5268.0,99.76,5281.0,3686.0,79.0,0,0,1
10.5,5268.0,99.76,5281.0,3686.0,79.0,0,0,1
11.0,5260.0,99.76,5273.0,3686.0,79.0,0,0,1
11.5,5268.0,99.76,5281.0,3686.0,80.0,0,0,1
12.0,5271.0,99.76,5284.0,3686.0,79.0,0,0,1
12.5,5257.0,99.76,5270.0,3686.0,79.0,0,0,1
13.0,5235.0,99.76,5248.0,3686.0,79.0,0,0,1
13.5,5236.0,99.76,5249.0,3686.0,79.0,0,0,1
14.0,5183.0,99.65,5201.0,3686.0,79.0,0,0,1
