frame,ticks,ns
0,180573918,48964019
1,180379970,48931310
2,180403044,48937563
3,180270008,48901472
4,180267514,48900790
5,180196280,48881483
6,180094752,48853943
7,180417160,48941400
8,180283184,48905057
9,180881906,49067472
10,180463100,48953859
11,180355656,48924716
12,180425796,48943742
13,180800560,49045405
14,180518086,48968779
15,180520186,48969345
16,180394982,48935384
17,180801406,49045635
18,180475558,48957244
19,180179668,48876977
20,180370952,48928858
21,180351694,48923636
22,180222444,48888570
23,180167606,48873701
24,180219884,48887884
25,180111070,48858368
26,180136454,48865256
27,180378702,48930968
28,180236618,48892426
29,180252902,48896834
30,180230046,48890635
31,180080822,48850154
32,180055868,48843391
33,180183628,48878051
34,180133206,48864371
35,180101120,48855670
36,180124370,48861966
37,180222684,48888638
38,180587142,48987503
39,180048420,48841362
40,180108518,48857675
41,180066158,48846186
42,180156266,48870630
43,180182960,48877872
44,180232160,48891214
45,180053608,48842770
46,180419778,48942089
47,180535534,48973502
48,180793172,49043392
49,180407198,48938688
50,180294544,48908131
51,180065756,48846076
52,180167188,48873588
53,179966778,48819220
54,179939870,48811927
55,180082048,48850485
56,180063072,48845339
57,184217058,49972185
58,182087206,49394408
59,181023360,49105838
60,181011358,49102588
61,181037966,49109797
62,181736642,49299312
63,181296002,49179792
64,181209746,49156395
65,181455730,49223109
66,182366334,49470142
67,181595146,49260923
68,181174412,49146791
69,181458896,49223968
70,181487970,49231866
71,181602220,49262862
72,181945912,49356081
73,181313510,49184552
74,181175074,49146998
75,181150560,49140323
76,181125164,49133448
77,181976080,49364285
78,194306838,52709225
79,184285798,49990813
80,183046502,49654659
81,181854642,49331336
82,181763846,49306714
83,181189474,49150906
84,180863972,49062606
85,180820756,49050882
86,180742238,49029585
87,180734440,49027469
88,180767916,49036550
89,180887158,49068887
90,180809244,49047751
91,180612476,48994373
92,180632340,48999764
93,180500466,48963989
94,180796698,49044331
95,180577912,48984998
96,180626282,48998119
97,180518066,48968764
98,180668904,49009681
99,181157572,49142240
100,180507182,48965811
101,180602412,48991654
102,180420064,48942178
103,180557054,48979339
104,180293428,48907836
105,180444062,48948699
106,180236632,48892430
107,180378440,48930897
108,180516972,48968476
109,180511562,48967009
110,180807898,49047397
111,180718332,49023099
112,180597954,48990444
113,180354124,48924301
114,180405438,48938220
115,180237326,48892617
116,180340056,48920483
117,180304650,48910870
118,180312700,48913065
119,180631494,48999534
120,180390426,48934139
121,180419348,48941983
122,180364566,48927122
123,180184462,48878278
124,180336228,48919447
125,180250892,48896298
126,180335812,48919334
127,180058120,48844005
128,180450778,48950521
129,180452274,48950927
130,180452412,48950963
131,180434596,48946115
132,180375448,48930074
133,180343742,48921453
134,180271266,48901815
135,180410214,48939486
136,180331648,48918206
137,180216658,48887013
138,180265012,48900127
139,180585772,48987140
140,180682248,49013311
141,180382022,48931869
142,180180022,48877073
143,180140788,48866431
144,180257504,48898083
145,180124182,48861916
146,180260574,48898916
147,180216818,48887054
148,180333282,48918647
149,180178348,48876620
150,180267606,48900832
151,180352476,48923844
152,180472158,48956319
153,180380350,48931416
154,180448742,48949969
155,180367070,48927812
156,180393970,48935101
157,180321974,48915572
158,180381392,48931687
159,180402800,48937496
160,180922244,49078406
161,180288042,48906366
162,180492196,48961755
163,180534024,48973102
164,180522320,48969929
165,180420852,48942395
166,180307916,48911768
167,180436158,48946554
168,180486708,48960263
169,180537910,48974152
170,180801698,49045713
171,180896210,49071353
172,180796336,49044246
173,180680936,49012956
174,180567168,48982094
175,180554738,48978721
176,180767206,49036356
177,180732984,49027074
178,180518262,48968826
179,180479996,48958445
180,180591868,48988789
181,180898636,49072005
182,180436782,48946723
183,180276416,48903222
184,180375218,48930025
185,180558334,48979697
186,180402522,48937430
187,180338986,48920195
188,180435430,48946356
189,180448682,48949950
190,180401086,48937041
191,180563642,48981127
192,180447558,48949637
193,180584068,48986667
194,180314806,48913623
195,180329038,48917485
196,180359962,48925874
197,180192356,48880419
198,180293150,48907760
199,180064700,48845789
200,180212002,48885748
201,180347916,48922617
202,180194262,48880934
203,180365682,48927435
204,180254864,48897360
205,180275708,48903019
206,180122854,48861564
207,182698658,49560298
208,181763010,49306488
209,181099272,49126427
210,181115454,49130802
211,181305938,49182489
212,181302504,49181563
213,181205552,49155258
214,181180732,49148525
215,181890284,49341002
216,181456642,49223371
217,181722530,49295506
218,181595766,49261112
219,181591062,49259814
220,181478816,49229360
221,182098418,49397465
222,181595928,49261154
223,181540932,49246235
224,181337718,49191119
225,181382908,49203374
226,181645480,49274604
227,181432764,49216893
228,181458450,49223846
229,181551488,49249108
230,181465266,49225717
231,181480586,49229863
232,181234514,49163114
233,191401664,51921135
234,182882806,49610246
235,181865604,49334308
236,182207162,49426963
237,182018852,49375879
238,181793324,49314701
239,181899344,49343461
