frame,ticks,ns
0,39926036,10803430
1,40218952,10909989
2,36313616,9850588
3,38694430,10496421
4,39040044,10590208
5,39365174,10678384
6,39147612,10619359
7,39816482,10800815
8,39477344,10708818
9,38045932,10320525
10,37992172,10305911
11,37087946,10060619
12,35655596,9672131
13,38996280,10578327
14,39839052,10806982
15,39567740,10733352
16,41850882,11352721
17,38702572,10498509
18,38878028,10546210
19,37867988,10272232
20,38432708,10425449
21,37509980,10175115
22,39394534,10686397
23,38839178,10535696
24,39192250,10631504
25,39525864,10722042
26,37789768,10251013
27,39649234,10755473
28,40579360,11007823
29,40431170,10967593
30,38437858,10426889
31,39036936,10589422
32,40242632,10916411
33,40132582,10886498
34,41057610,11137530
35,38145598,10347590
36,36366336,9864892
37,39438650,10698282
38,37742542,10238141
39,41346548,11215808
40,38823484,10531411
41,37894906,10279535
42,37070712,10055970
43,39223426,10639984
44,40140556,10888817
45,37938804,10291462
46,39264328,10651018
47,41005392,11123242
48,38063558,10325321
49,40165522,10895568
50,39268790,10652313
51,38903334,10553175
52,36007227,9767549
53,37928974,10288862
54,37604194,10200763
55,39624857,10748904
56,39183530,10629022
57,37728544,10234429
58,37867100,10271888
59,40098562,10877378
60,39584186,10737801
61,38960114,10568501
62,38142730,10346746
63,40637930,11023614
64,37929994,10289028
65,35916772,9742930
66,37803758,10254865
67,38659668,10487090
68,40079584,10872213
69,39357968,10676464
70,38294490,10388022
71,38576840,10464543
72,39372030,10680204
73,38726484,10505089
74,39471864,10707261
75,38521248,10449495
76,44733074,12134591
77,41992310,11391038
78,37462436,10162244
79,38112860,10338719
80,38718114,10502874
81,37560372,10188784
82,39000918,10579532
83,36431288,9882556
84,41051258,11135765
85,37373524,10138104
86,39636332,10751928
87,41970680,11385071
88,37859056,10269765
89,35397958,9602244
90,39016142,10583699
91,37926070,10288001
92,38490190,10440973
93,38848456,10538179
94,39229408,10641506
95,37974452,10301160
96,40396458,10958172
97,38358590,10405311
98,38567580,10461903
99,38793002,10523161
100,39140432,10617376
101,41245374,11188409
102,38532298,10452492
103,38209304,10364856
104,37567488,10190740
105,38790870,10522572
106,37813138,10257356
107,38322324,10395524
108,38200152,10362336
109,40829698,11075708
110,37741672,10237970
111,37469356,10164127
112,40467852,10977585
113,39466198,10705831
114,39361384,10677327
115,38243862,10374179
116,39049056,10592605
117,38233312,10371370
118,38030428,10316283
119,40727276,11047897
120,38727094,10505293
121,40126226,10884875
122,38432658,10425426
123,38624340,10477419
124,39072556,10598992
125,38045496,10320387
126,39913352,10827069
127,39503730,10715939
128,37991682,10305810
129,40476528,10979809
130,39772244,10788789
131,35352188,9589812
132,37648976,10212844
133,37900178,10280953
134,39457100,10703367
135,41209034,11178550
136,38444474,10428620
137,42959776,11653516
138,40440690,10970216
139,37897810,10280393
140,38109246,10337543
141,40856256,11082848
142,41593042,11282785
143,38197164,10361450
144,38994308,10577765
145,37870878,10273077
146,38382582,10411873
147,38982098,10574513
148,39805144,10797801
149,39901992,10824006
150,38194302,10360746
151,39076750,10600205
152,37241822,10102377
153,36845544,9994894
154,41270006,11195139
155,37612444,10202918
156,38301320,10389714
157,40929966,11102848
158,38953120,10566586
159,39235390,10643152
160,38071108,10327294
161,39164044,10623797
162,38873552,10545079
163,39190824,10631129
164,39260602,10650034
165,38373474,10409357
166,37750200,10240290
167,38433244,10425552
168,38896822,10551293
169,39160884,10622951
170,39034342,10588680
171,38490976,10441300
172,37845434,10266165
173,39669528,10760916
174,40225756,10911880
175,39779388,10790746
176,38773728,10517904
177,39132402,10615229
178,40725278,11047315
179,38627536,10478272
180,38568776,10462347
181,38489038,10440760
182,34767300,9431151
183,39439040,10698361
184,37549484,10185888
185,37516648,10176982
186,40029472,10858555
187,38069484,10326908
188,39481672,10709965
189,38586608,10467225
190,41423530,11236784
191,38428324,10424180
192,36800572,9982713
193,40542476,10997793
194,40859222,11083753
195,41268414,11194650
196,39512688,10718388
197,40185004,10900776
198,41590420,11281995
199,39919319,10828750
200,36696035,9954292
201,41881742,11361019
202,39362936,10677772
203,37281852,10113129
204,38840978,10536158
205,38239966,10373190
206,38187798,10359031
207,39184756,10629430
208,38307310,10391411
209,39217188,10638203
210,39806092,10797929
211,39522956,10721189
212,39784826,10792249
213,39186092,10629868
214,38115810,10339446
215,40056668,10865904
216,39845430,10808631
217,37615054,10203646
218,39125982,10613468
219,38455566,10431638
220,38647088,10483539
221,39832728,10805171
222,38200576,10362468
223,39530062,10723107
224,38650144,10484421
225,39447740,10700769
226,40041208,10861695
227,38309942,10392155
228,39273672,10653551
229,38361236,10406049
230,39753826,10783832
231,39203296,10634427
232,37631928,10208142
233,38465850,10434429
234,40543518,10998047
235,40228290,10912490
236,35146766,9534050
237,38891454,10549928
238,38408204,10418847
239,40249454,10918255
