frame,render_ns,present_ns,total_ns,total_ticks
0,127084892,2306226,129391118,476987518
1,127371303,2308552,129679855,478050672
2,127325981,2302282,129628263,477860454
3,127504493,2333293,129837786,478632844
4,128105059,2289919,130394978,480686858
5,127387789,2292529,129680318,478052310
6,127807089,2354112,130161201,479825052
7,127439875,2311893,129751768,478315742
8,127750642,2314401,130065043,479470602
9,128215188,2310092,130525280,481167222
10,127282423,2304657,129587080,477708638
11,127656417,2316565,129972982,479131218
12,127382647,2335204,129717851,478190712
13,127250879,2332371,129583250,477694516
14,127502249,2306951,129809200,478527444
15,127135381,2314162,129449543,477201632
16,128031820,4254361,132286181,487658614
17,127789644,552783,128342427,473120400
18,127367930,550206,127918136,471556224
19,127127133,543773,127670906,470644866
20,127620830,552327,128173157,472496432
21,127207113,552734,127759847,470972714
22,127269046,558962,127828008,471224164
23,126960778,553153,127513931,470066174
24,127229812,547337,127777149,471036492
25,126993406,540000,127533406,470137962
26,127309730,526218,127835948,471253240
27,125856092,540585,126396677,465947544
28,126356527,539725,126896252,467789194
29,127066766,543195,127609961,470420170
