elapsed_s,freq_mhz,busy_pct,bzy_mhz,tsc_mhz,temp_c,core_throttle_count,package_throttle_count,sampled_cpu_count
0.5,3618.0,67.43,5366.0,3686.0,79.0,0,0,1
1.0,5294.0,99.76,5307.0,3686.0,71.0,0,0,1
1.5,5280.0,99.76,5293.0,3686.0,79.0,0,0,1
2.0,5218.0,99.76,5231.0,3686.0,75.0,0,0,1
2.5,5162.0,99.76,5175.0,3686.0,68.0,0,0,1
3.0,4957.0,99.76,4969.0,3686.0,79.0,0,0,1
3.5,5294.0,99.76,5307.0,3686.0,79.0,0,0,1
4.0,5270.0,99.76,5283.0,3686.0,73.0,0,0,1
4.5,5173.0,99.76,5186.0,3686.0,79.0,0,0,1
5.0,5280.0,99.76,5293.0,3686.0,79.0,0,0,1
5.5,5305.0,99.76,5318.0,3686.0,79.0,0,0,1
6.0,5307.0,99.76,5320.0,3686.0,79.0,0,0,1
6.5,5310.0,99.76,5323.0,3686.0,79.0,0,0,1
7.0,5309.0,99.76,5322.0,3686.0,79.0,0,0,1
7.5,5315.0,99.76,5328.0,3686.0,80.0,0,0,1
8.0,5314.0,99.76,5326.0,3686.0,79.0,0,0,1
8.5,5316.0,99.76,5329.0,3686.0,80.0,0,0,1
9.0,5318.0,99.76,5331.0,3686.0,79.0,0,0,1
9.5,5321.0,99.76,5334.0,3686.0,79.0,0,0,1
10.0,5322.0,99.76,5335.0,3686.0,79.0,0,0,1
10.5,5323.0,99.76,5336.0,3686.0,79.0,0,0,1
11.0,5320.0,99.76,5333.0,3686.0,79.0,0,0,1
11.5,5321.0,99.76,5334.0,3686.0,79.0,0,0,1
12.0,5324.0,99.76,5337.0,3686.0,79.0,0,0,1
12.5,5324.0,99.76,5337.0,3686.0,79.0,0,0,1
13.0,5325.0,99.76,5338.0,3686.0,79.0,0,0,1
13.5,5328.0,99.76,5341.0,3686.0,79.0,0,0,1
14.0,5318.0,99.59,5340.0,3686.0,79.0,0,0,1
