elapsed_s,freq_mhz,busy_pct,bzy_mhz,tsc_mhz,temp_c,core_throttle_count,package_throttle_count,sampled_cpu_count
0.5,3547.0,66.24,5355.0,3686.0,79.0,0,0,1
1.0,5337.0,99.76,5350.0,3686.0,79.0,0,0,1
1.5,5336.0,99.76,5349.0,3686.0,79.0,0,0,1
2.0,5308.0,99.76,5321.0,3686.0,79.0,0,0,1
2.5,5316.0,99.76,5329.0,3686.0,79.0,0,0,1
3.0,5333.0,99.76,5346.0,3686.0,79.0,0,0,1
3.5,5290.0,99.76,5303.0,3686.0,79.0,0,0,1
4.0,5330.0,99.76,5343.0,3686.0,79.0,0,0,1
4.5,5312.0,99.76,5325.0,3686.0,79.0,0,0,1
5.0,5333.0,99.76,5346.0,3686.0,79.0,0,0,1
5.5,5325.0,99.76,5338.0,3686.0,80.0,0,0,1
6.0,5334.0,99.76,5347.0,3686.0,79.0,0,0,1
6.5,5330.0,99.76,5343.0,3686.0,79.0,0,0,1
7.0,5331.0,99.76,5344.0,3686.0,80.0,0,0,1
7.5,5337.0,99.76,5350.0,3686.0,79.0,0,0,1
8.0,5336.0,99.76,5349.0,3686.0,79.0,0,0,1
8.5,5335.0,99.76,5348.0,3686.0,79.0,0,0,1
9.0,5335.0,99.76,5348.0,3686.0,80.0,0,0,1
9.5,5335.0,99.76,5348.0,3686.0,80.0,0,0,1
10.0,5336.0,99.76,5349.0,3686.0,79.0,0,0,1
10.5,5334.0,99.76,5347.0,3686.0,79.0,0,0,1
11.0,5335.0,99.76,5348.0,3686.0,79.0,0,0,1
11.5,5335.0,99.76,5348.0,3686.0,80.0,0,0,1
12.0,5336.0,99.76,5349.0,3686.0,79.0,0,0,1
12.5,5336.0,99.76,5349.0,3686.0,79.0,0,0,1
13.0,5336.0,99.76,5349.0,3686.0,79.0,0,0,1
13.5,5335.0,99.76,5348.0,3686.0,79.0,0,0,1
14.0,5321.0,99.53,5346.0,3686.0,79.0,0,0,1
