elapsed_s,freq_mhz,busy_pct,bzy_mhz,tsc_mhz,temp_c,core_throttle_count,package_throttle_count,sampled_cpu_count
0.5,3619.0,70.51,5133.0,3686.0,80.0,0,0,1
1.0,5099.0,99.76,5111.0,3686.0,82.0,0,0,1
1.5,5127.0,99.76,5139.0,3686.0,79.0,0,0,1
2.0,5147.0,99.76,5160.0,3686.0,80.0,0,0,1
2.5,5147.0,99.76,5160.0,3686.0,79.0,0,0,1
3.0,5152.0,99.76,5164.0,3686.0,80.0,0,0,1
3.5,5160.0,99.76,5173.0,3686.0,80.0,0,0,1
4.0,5165.0,99.76,5178.0,3686.0,80.0,0,0,1
4.5,5166.0,99.76,5178.0,3686.0,80.0,0,0,1
5.0,5172.0,99.76,5185.0,3686.0,82.0,0,0,1
5.5,5177.0,99.76,5189.0,3686.0,80.0,0,0,1
6.0,5176.0,99.76,5189.0,3686.0,80.0,0,0,1
6.5,5180.0,99.76,5193.0,3686.0,79.0,0,0,1
7.0,5185.0,99.76,5198.0,3686.0,80.0,0,0,1
7.5,5127.0,99.76,5140.0,3686.0,77.0,0,0,1
8.0,5143.0,99.76,5156.0,3686.0,80.0,0,0,1
8.5,5173.0,99.76,5186.0,3686.0,80.0,0,0,1
9.0,5192.0,99.76,5205.0,3686.0,79.0,0,0,1
9.5,5197.0,99.76,5210.0,3686.0,79.0,0,0,1
10.0,5200.0,99.76,5213.0,3686.0,80.0,0,0,1
10.5,5206.0,99.76,5218.0,3686.0,80.0,0,0,1
11.0,5208.0,99.76,5221.0,3686.0,79.0,0,0,1
11.5,5212.0,99.76,5225.0,3686.0,80.0,0,0,1
12.0,5216.0,99.76,5229.0,3686.0,80.0,0,0,1
12.5,5215.0,99.76,5228.0,3686.0,80.0,0,0,1
13.0,5221.0,99.76,5234.0,3686.0,79.0,0,0,1
13.5,5223.0,99.76,5236.0,3686.0,80.0,0,0,1
14.0,5221.0,99.76,5234.0,3686.0,80.0,0,0,1
14.5,5218.0,99.76,5230.0,3686.0,79.0,0,0,1
15.0,5226.0,99.76,5238.0,3686.0,80.0,0,0,1
15.5,5229.0,99.76,5241.0,3686.0,79.0,0,0,1
16.0,5229.0,99.76,5241.0,3686.0,80.0,0,0,1
16.5,5220.0,99.76,5232.0,3686.0,80.0,0,0,1
17.0,5231.0,99.76,5244.0,3686.0,80.0,0,0,1
17.5,5237.0,99.76,5250.0,3686.0,80.0,0,0,1
18.0,5236.0,99.76,5249.0,3686.0,79.0,0,0,1
18.5,5237.0,99.76,5250.0,3686.0,80.0,0,0,1
19.0,5240.0,99.76,5253.0,3686.0,80.0,0,0,1
19.5,5240.0,99.76,5252.0,3686.0,79.0,0,0,1
20.0,5242.0,99.76,5255.0,3686.0,79.0,0,0,1
20.5,5242.0,99.76,5255.0,3686.0,80.0,0,0,1
21.0,5245.0,99.76,5258.0,3686.0,80.0,0,0,1
21.5,5089.0,99.76,5102.0,3686.0,79.0,0,0,1
22.0,5219.0,99.76,5232.0,3686.0,79.0,0,0,1
22.5,5235.0,99.76,5248.0,3686.0,79.0,0,0,1
23.0,5226.0,99.76,5239.0,3686.0,82.0,0,0,1
23.5,5234.0,99.76,5247.0,3686.0,80.0,0,0,1
24.0,5240.0,99.76,5253.0,3686.0,79.0,0,0,1
24.5,5243.0,99.76,5256.0,3686.0,79.0,0,0,1
25.0,5243.0,99.76,5255.0,3686.0,79.0,0,0,1
25.5,5246.0,99.76,5259.0,3686.0,79.0,0,0,1
26.0,5236.0,99.76,5249.0,3686.0,79.0,0,0,1
26.5,5247.0,99.76,5260.0,3686.0,79.0,0,0,1
27.0,5248.0,99.76,5261.0,3686.0,80.0,0,0,1
27.5,5244.0,99.76,5257.0,3686.0,80.0,0,0,1
28.0,5246.0,99.66,5264.0,3686.0,77.0,0,0,1
