frame,ticks,ns
0,366945618,99518635
1,366873156,99520966
2,366700658,99474170
3,366439386,99403301
4,366392350,99390536
5,366373734,99385486
6,366021256,99289876
7,365747784,99215686
8,366770886,99493223
9,365841052,99240994
10,365939552,99267707
11,365987716,99280772
12,365957602,99272605
13,366004254,99285268
14,365883336,99252457
15,366172552,99330899
16,366644300,99458894
17,366036914,99294113
18,367682216,99740446
19,365758320,99218540
20,366592232,99444760
21,365998048,99283578
22,365338332,99104614
23,365567984,99166912
24,365573942,99168531
25,365928880,99264812
26,365088876,99036947
27,365158770,99055907
28,365384888,99117254
29,364985840,99009006
30,366103698,99312235
31,365282426,99089444
32,371104232,100668726
33,380944000,103337936
34,368758172,100032309
35,368649522,100002834
36,368523256,99968582
37,368653666,100003961
38,368980308,100092568
39,367525458,99697914
40,366865152,99518794
41,365631296,99184097
42,365622106,99181605
43,365005804,99014422
44,365064270,99030281
45,364861874,98975378
46,364749290,98944836
47,365082066,99035108
48,364684540,98927273
49,364641690,98915649
50,364674778,98924624
51,364614918,98908374
52,364350628,98836682
53,364711640,98934615
54,364382300,98845274
55,364186418,98792138
56,364149216,98782057
57,364461954,98866883
58,364513096,98880755
59,364794398,98957065
60,364127158,98776060
61,363932520,98723262
62,363914496,98718386
63,363987510,98738179
64,364383056,98845464
65,364401410,98850457
66,363894974,98713089
67,364269768,98814747
68,364046834,98754274
69,364535394,98886805
70,364559834,98893435
71,364015796,98745847
72,363934682,98723850
73,364291774,98820715
74,364437730,98860311
75,364320072,98828391
76,364134630,98778091
77,363955444,98729492
78,363765786,98678035
79,363830246,98695520
80,363847574,98700229
81,364020750,98747198
82,364290892,98820477
83,364081660,98763722
84,363991158,98739180
85,363566924,98624094
86,363266652,98542636
87,363199368,98524381
88,363583840,98628677
89,363526622,98613159
90,363039738,98481082
91,363066320,98488301
92,363008578,98472627
93,362812112,98419332
94,363531358,98614442
95,362985392,98466347
96,363031304,98478791
97,363194214,98522991
98,363013058,98473848
99,363146338,98510005
100,363382068,98573812
101,363972498,98734102
102,363724540,98666853
103,363180788,98519341
104,363437300,98588934
105,362799524,98415916
106,362940440,98454142
107,362623010,98368033
108,363132012,98506111
109,362925072,98449976
110,362345466,98292745
111,362364638,98297947
112,362501746,98335151
113,362755210,98403898
114,362346078,98292915
115,362209786,98255936
116,362331996,98289092
117,364134794,98777891
118,363246412,98537149
119,363207452,98526574
120,363673998,98653137
121,364085598,98764788
122,363980936,98736396
123,363627378,98640497
124,363106396,98499159
125,362671552,98381213
126,362653892,98376414
127,362279770,98274923
128,362116008,98230501
129,362157900,98241873
130,362384554,98303351
131,362154720,98241002
132,361820228,98150266
133,362006546,98200800
134,361587988,98087267
135,362304230,98281563
136,362080210,98220788
137,361990840,98196548
138,361845938,98157237
139,361997920,98198478
140,362335834,98290133
141,361982308,98194232
142,362010588,98201901
143,362260560,98269717
144,361917942,98176773
145,362157912,98241866
146,362073992,98219103
147,361729680,98125701
148,361915644,98176160
149,362046346,98211606
150,362075922,98219626
151,362039572,98209767
152,362275006,98273631
153,362028782,98206851
154,362079894,98220705
155,361697268,98116911
156,361672338,98110146
157,361495450,98062173
158,361402412,98036923
159,362807204,98418011
160,362835110,98425569
161,362437480,98317705
162,361639320,98101202
163,361672108,98110096
164,362016292,98203452
165,362759770,98405135
166,362464976,98325156
167,362243012,98264955
168,362332238,98289157
169,362392636,98305543
170,361994572,98197564
171,361726078,98124735
172,385766042,104645999
173,372595044,101073110
174,366804552,99502354
175,377583978,102426468
176,364563014,98894296
177,362813126,98419618
178,362332576,98289243
179,362024660,98205720
180,362517130,98339323
181,361950590,98185640
182,362163976,98243517
183,361801232,98145114
184,361706266,98119353
185,361807264,98146749
186,362046430,98211637
187,363388976,98575817
188,362316490,98284886
189,362569160,98353423
190,363488528,98602834
191,363251244,98538457
192,362361476,98297089
193,362011976,98202280
194,361865996,98162686
195,362138258,98236510
196,362048504,98212189
197,361672098,98110082
198,361469376,98055089
199,361373176,98028988
200,361400334,98036360
201,361819814,98150153
202,361646024,98103020
203,361355454,98024195
204,361525604,98070354
205,361175194,97975297
206,361164764,97972468
207,362436694,98317492
208,362437734,98317785
209,362121072,98231874
210,361818884,98149910
211,362191126,98250879
212,360922420,97906719
213,360966800,97918770
214,361034672,97937179
215,360929400,97908622
216,360895462,97899408
217,361116642,97959407
218,361919198,98177119
219,363678196,98654273
220,361764580,98135170
221,362508132,98336874
222,361549522,98076831
223,361431130,98044716
224,361349466,98022562
225,361267540,98000339
226,361605100,98091909
227,361579534,98084973
228,361157498,97970490
229,361302806,98009906
230,361112308,97958231
231,362351918,98294498
232,361344462,98021206
233,361641826,98101872
234,361586220,98086797
235,361454148,98050971
236,361206520,97983797
237,361291084,98006735
238,360804256,97874666
239,360904070,97901742
