elapsed_s,freq_mhz,busy_pct,bzy_mhz,tsc_mhz,temp_c,core_throttle_count,package_throttle_count,sampled_cpu_count
0.5,3381.0,67.09,5039.0,3686.0,83.0,0,0,1
1.0,5036.0,99.76,5049.0,3686.0,82.0,0,0,1
1.5,5056.0,99.76,5068.0,3686.0,83.0,0,0,1
2.0,5055.0,99.76,5067.0,3686.0,83.0,0,0,1
2.5,5028.0,99.76,5040.0,3686.0,83.0,0,0,1
3.0,5052.0,99.76,5064.0,3686.0,83.0,0,0,1
3.5,5022.0,99.76,5035.0,3686.0,83.0,0,0,1
4.0,5041.0,99.76,5053.0,3686.0,83.0,0,0,1
4.5,5028.0,99.76,5041.0,3686.0,83.0,0,0,1
5.0,5037.0,99.76,5050.0,3686.0,83.0,0,0,1
5.5,5005.0,99.76,5017.0,3686.0,82.0,0,0,1
6.0,4872.0,99.76,4884.0,3686.0,82.0,0,0,1
6.5,4974.0,99.76,4986.0,3686.0,83.0,0,0,1
7.0,5026.0,99.76,5038.0,3686.0,82.0,0,0,1
7.5,4872.0,99.76,4884.0,3686.0,82.0,0,0,1
8.0,4779.0,99.76,4791.0,3686.0,83.0,0,0,1
8.5,4879.0,99.76,4891.0,3686.0,83.0,0,0,1
9.0,4876.0,99.76,4888.0,3686.0,77.0,0,0,1
9.5,4902.0,99.76,4914.0,3686.0,83.0,0,0,1
10.0,5031.0,99.76,5043.0,3686.0,83.0,0,0,1
10.5,5056.0,99.76,5068.0,3686.0,83.0,0,0,1
11.0,5054.0,99.76,5066.0,3686.0,83.0,0,0,1
11.5,5044.0,99.76,5056.0,3686.0,82.0,0,0,1
12.0,5045.0,99.76,5057.0,3686.0,83.0,0,0,1
12.5,5055.0,99.76,5068.0,3686.0,83.0,0,0,1
13.0,5040.0,99.76,5053.0,3686.0,83.0,0,0,1
13.5,5049.0,99.76,5061.0,3686.0,83.0,0,0,1
14.0,5044.0,99.76,5056.0,3686.0,83.0,0,0,1
14.5,4998.0,99.76,5010.0,3686.0,84.0,0,0,1
15.0,5048.0,99.76,5060.0,3686.0,83.0,0,0,1
15.5,5032.0,99.76,5044.0,3686.0,83.0,0,0,1
16.0,4911.0,99.76,4923.0,3686.0,82.0,0,0,1
16.5,4948.0,99.76,4961.0,3686.0,83.0,0,0,1
17.0,5041.0,99.76,5053.0,3686.0,83.0,0,0,1
17.5,5042.0,99.76,5054.0,3686.0,83.0,0,0,1
18.0,5047.0,99.76,5060.0,3686.0,83.0,0,0,1
18.5,4987.0,99.76,4999.0,3686.0,79.0,0,0,1
19.0,4855.0,99.76,4867.0,3686.0,80.0,0,0,1
19.5,4887.0,99.76,4899.0,3686.0,77.0,0,0,1
20.0,4835.0,99.76,4846.0,3686.0,79.0,0,0,1
20.5,4997.0,99.76,5009.0,3686.0,83.0,0,0,1
21.0,5046.0,99.76,5058.0,3686.0,84.0,0,0,1
21.5,5050.0,99.76,5062.0,3686.0,84.0,0,0,1
22.0,5008.0,99.76,5020.0,3686.0,79.0,0,0,1
22.5,4942.0,99.76,4954.0,3686.0,78.0,0,0,1
23.0,4943.0,99.76,4955.0,3686.0,77.0,0,0,1
23.5,5006.0,99.76,5018.0,3686.0,77.0,0,0,1
24.0,5026.0,99.76,5038.0,3686.0,83.0,0,0,1
24.5,5056.0,99.76,5068.0,3686.0,83.0,0,0,1
25.0,5060.0,99.76,5072.0,3686.0,83.0,0,0,1
25.5,4886.0,99.76,4898.0,3686.0,78.0,0,0,1
26.0,4861.0,99.76,4873.0,3686.0,82.0,0,0,1
26.5,5031.0,99.76,5043.0,3686.0,84.0,0,0,1
27.0,5039.0,99.76,5051.0,3686.0,83.0,0,0,1
27.5,4987.0,99.76,4999.0,3686.0,84.0,0,0,1
28.0,5035.0,99.76,5048.0,3686.0,84.0,0,0,1
28.5,5035.0,99.76,5048.0,3686.0,85.0,0,0,1
29.0,5012.0,99.76,5024.0,3686.0,84.0,0,0,1
29.5,5025.0,99.76,5038.0,3686.0,84.0,0,0,1
30.0,5037.0,99.76,5050.0,3686.0,85.0,0,0,1
30.5,5060.0,99.31,5095.0,3686.0,82.0,0,0,1
