frame,ticks,ns
0,46911720,12702413
1,37213462,10094757
2,43642908,11838859
3,41791100,11336522
4,43762322,11871261
5,46031768,12486893
6,37158236,10079779
7,45809602,12426624
8,43165984,11709496
9,43713888,11858130
10,43866470,11899514
11,43748710,11867566
12,43289092,11742888
13,41683906,11307450
14,40270144,10923935
15,42649568,11569403
16,45298192,12287892
17,43315694,11750107
18,44222838,11996186
19,44002200,11936332
20,41391888,11228237
21,42843530,11622016
22,39147524,10619407
23,44302936,12017912
24,43889788,11905839
25,41422994,11236674
26,45281816,12283457
27,45100802,12234349
28,46995172,12748233
29,42447260,11514531
30,42361398,11491231
31,43262828,11735757
32,37832482,10262674
33,47553758,12899761
34,43945084,11920841
35,41711040,11314814
36,43745664,11866743
37,44805842,12154332
38,43256492,11734044
39,43095988,11690510
40,45934974,12460639
41,40701218,11040877
42,40087864,10874490
43,45339070,12298984
44,43216548,11723213
45,45105956,12235750
46,41872194,11358525
47,45165010,12251762
48,43919180,11913808
49,42543164,11540544
50,38269104,10381124
51,41823830,11345411
52,39381160,10682783
53,44797990,12152204
54,45536498,12352540
55,43289204,11742918
56,42919580,11642648
57,45047766,12219964
58,38044150,10320097
59,43568966,11818810
60,44251884,12004061
61,43400614,11773138
62,43366732,11763863
63,42176168,11440670
64,43755712,11869463
65,43155956,11706768
66,45013908,12210778
67,37669252,10218400
68,43326416,11753005
69,40504764,10987503
70,41427110,11237764
71,39227892,10641209
72,41271482,11195499
73,43043092,11676126
74,42051922,11407283
75,43710970,11857327
76,44841118,12163854
77,43509550,11802687
78,42901180,11637658
79,39334020,10670003
80,43262440,11735652
81,42488240,11525640
82,46057844,12493964
83,46116718,12509939
84,48573655,13176429
85,87983103,23866953
86,40141548,10889070
87,49376336,13394164
88,46213852,12536284
89,47685868,12935594
90,41407228,11232390
91,43436512,11782872
92,46856750,12710682
93,43883078,11904017
94,39957914,10839237
95,42316162,11478965
96,43415496,11777178
97,42884336,11633091
98,45096574,12233194
99,42715414,11587169
100,43243474,11730455
101,39974224,10843665
102,43024554,11671122
103,41483250,11253015
104,43428548,11780709
105,42379306,11496089
106,43783948,11877127
107,39146746,10619196
108,42110204,11423090
109,41215904,11180390
110,40705870,11042102
111,45954018,12465368
112,40921486,11100631
113,41440576,11241445
114,39723546,10775662
115,43574002,11820163
116,40440538,10970159
117,47541200,12896321
118,42216322,11451875
119,43450714,11786734
120,46105178,12506806
121,39304080,10661879
122,44166860,11981002
123,43339242,11756494
124,43641202,11838405
125,45116854,12238702
126,40627968,11021006
127,40884232,11090524
128,43557792,11815779
129,41717224,11316410
130,43239180,11729342
131,40026702,10857901
132,44807326,12154732
133,44791080,12150326
134,42034400,11402530
135,41652774,11299001
136,43225544,11725649
137,39929594,10831564
138,42181286,11442371
139,42240834,11458524
140,44960590,12196310
141,38850592,10538863
142,43924682,11915301
143,46365258,12577351
144,38817212,10529804
145,41174454,11169252
146,43697320,11853625
147,45237810,12271514
148,37610228,10202388
149,42821480,11616033
150,45214244,12265114
151,39452578,10702165
152,47515814,12889464
153,45625660,12376736
154,42552006,11542940
155,42763552,11600326
156,39058620,10595294
157,40701612,11040986
158,45490972,12340186
159,44416634,12048757
160,42862942,11627291
161,44352000,12031227
162,43696446,11853386
163,40782000,11062789
164,42505360,11530281
165,45023026,12213244
166,42808716,11612579
167,43286372,11742151
168,43876420,11902214
169,43079330,11685990
170,39345692,10673167
171,42854606,11625025
172,41053246,11136366
173,40127644,10885284
174,41703016,11312630
175,39724596,10775946
176,46659078,12656983
177,40074078,10870723
178,46246972,12545268
179,38642148,10482315
180,44900918,12180125
181,48412396,13132683
182,42521830,11534760
183,44682848,12120970
184,39057052,10594864
185,46226854,12539807
186,40222632,10911052
187,41446550,11242989
188,40786250,11063940
189,45780514,12418729
190,43587210,11823762
191,40742638,11052106
192,42879888,11631877
193,46221382,12538328
194,43500164,11800147
195,40084720,10873638
196,42466374,11519709
197,42098136,11419821
198,46717212,12672824
199,41702618,11312529
200,43706114,11856004
201,45171620,12253561
202,47009448,12752114
203,39123770,10612965
204,49032698,13300948
205,40785148,11063650
206,40043494,10862456
207,44253710,12004558
208,39935144,10833062
209,45376756,12309199
210,43463056,11790077
211,45417360,12320224
212,43617982,11832110
213,38715198,10502130
214,44309000,12019553
215,40908914,11097216
216,40970012,11113787
217,41688216,11308611
218,40211614,10908058
219,45048778,12220233
220,39779856,10790936
221,40922152,11100801
222,42621536,11561793
223,42289824,11471820
224,40665206,11031108
225,46119638,12510725
226,42814598,11614168
227,43462858,11790022
228,42572712,11548554
229,45283482,12283903
230,40649906,11026957
231,41023670,11128351
232,47037818,12759794
233,41240184,11187083
234,41177556,11170091
235,42363100,11491688
236,42096686,11419424
237,42436312,11511551
238,47226374,12810945
239,50890138,13804813
