frame,render_ns,present_ns,total_ns,total_ticks
0,10071093,1969608,12040701,44386928
1,10553518,1984102,12537620,46218756
2,9895601,2092393,11987994,44192604
3,9999339,2031753,12031092,44351430
4,9857915,1978700,11836615,43634578
5,10157358,2227407,12384765,45655244
6,9875305,1984642,11859947,43720522
7,10258759,2022656,12281415,45274244
8,10167588,2078318,12245906,45143329
9,10180840,2023255,12204095,44989212
10,10103548,2134462,12238010,45114212
11,10401875,1579127,11981002,44166762
12,11075799,2200240,13276039,48940849
13,11104751,2374159,13478910,49688677
14,11096209,1908508,13004717,47940562
15,10839937,2087050,12926987,47654061
16,14604552,6439275,21043827,77575997
17,10493694,673264,11166958,41166123
18,10085157,566107,10651264,39264880
19,10119179,789776,10908955,40214892
20,9940678,649705,10590383,39040484
21,9986347,590101,10576448,38989124
22,10182180,855780,11037960,40690414
23,9853088,754456,10607544,39103762
24,10056193,522424,10578617,38997166
25,10120256,548242,10668498,39328480
26,9959286,608727,10568013,38958028
27,10023212,534149,10557361,38918772
28,10199069,856800,11055869,40756397
29,10376063,823481,11199544,41286032
