frame,render_ns,present_ns,total_ns,total_ticks
0,6852992,676815,7529807,27758454
1,6735211,726686,7461897,27508032
2,6805738,826982,7632720,28137720
3,7119265,735790,7855055,28957360
4,7157327,675508,7832835,28875434
5,6954622,1041925,7996547,29479084
6,7292761,850226,8142987,30018908
7,6646255,767485,7413740,27330604
8,7138647,1053492,8192139,30200152
9,7015361,695829,7711190,28427040
10,6481099,875652,7356751,27120228
11,7217385,681775,7899160,29119852
12,6633923,724124,7358047,27126086
13,7072306,1084991,8157297,30071484
14,7008333,690330,7698663,28380896
15,6517129,746210,7263339,26775940
16,12414570,677713,13092283,48263684
17,6866016,991945,7857961,28967940
18,6977223,758585,7735808,28518028
19,6972451,1072273,8044724,29656608
20,5959323,981649,6940972,25587724
21,6909190,1090064,7999254,29489184
22,6878186,651484,7529670,27757820
23,6508439,1131843,7640282,28165548
24,6766107,802809,7568916,27902704
25,7064590,900801,7965391,29364356
26,7229282,943374,8172656,30128184
27,7062535,913730,7976265,29404210
28,6788219,793994,7582213,27951704
29,6464412,758249,7222661,26626060
30,7325895,956324,8282219,30532140
31,7927417,902257,8829674,32550088
32,7668678,947359,8616037,31762520
33,7983946,927467,8911413,32851376
34,7820100,913974,8734074,32197630
35,7594046,1009633,8603679,31716890
36,7782053,992087,8774140,32345388
37,8415317,913595,9328912,34390600
38,8014887,954335,8969222,33064496
39,7782368,954345,8736713,32207356
40,7753318,919638,8672956,31972308
41,8050086,890166,8940252,32957810
42,7506523,890820,8397343,30956316
43,7612359,938859,8551218,31523664
44,7950195,940086,8890281,32773472
45,7923526,964539,8888065,32765310
46,7884090,945883,8829973,32551152
47,7467867,893669,8361536,30824352
48,7409627,1000863,8410490,31004738
49,7031204,842734,7873938,29027120
50,6442812,781875,7224687,26633684
51,7470415,917880,8388295,30922976
52,7851889,934962,8786851,32392162
53,7823321,916600,8739921,32219244
54,7847711,920428,8768139,32323344
55,7531404,934443,8465847,31208976
56,7855126,941816,8796942,32429408
57,7764077,917530,8681607,32004216
58,7881328,952983,8834311,32567268
59,6611639,751528,7363167,27144038
