elapsed_s,freq_mhz,busy_pct,bzy_mhz,tsc_mhz,temp_c,core_throttle_count,package_throttle_count,sampled_cpu_count
0.5,3600.0,68.21,5278.0,3686.0,79.0,0,0,1
1.0,5248.0,99.76,5261.0,3686.0,78.0,0,0,1
1.5,5257.0,99.76,5269.0,3686.0,80.0,0,0,1
2.0,5242.0,99.76,5255.0,3686.0,80.0,0,0,1
2.5,5254.0,99.76,5267.0,3686.0,79.0,0,0,1
3.0,5252.0,99.76,5265.0,3686.0,80.0,0,0,1
3.5,5250.0,99.76,5262.0,3686.0,79.0,0,0,1
4.0,5254.0,99.76,5267.0,3686.0,79.0,0,0,1
4.5,5259.0,99.76,5272.0,3686.0,80.0,0,0,1
5.0,5257.0,99.76,5270.0,3686.0,79.0,0,0,1
5.5,5254.0,99.76,5267.0,3686.0,79.0,0,0,1
6.0,5179.0,99.76,5191.0,3686.0,79.0,0,0,1
6.5,5204.0,99.76,5217.0,3686.0,79.0,0,0,1
7.0,5219.0,99.76,5232.0,3686.0,80.0,0,0,1
7.5,5238.0,99.76,5251.0,3686.0,80.0,0,0,1
8.0,5250.0,99.76,5262.0,3686.0,80.0,0,0,1
8.5,5251.0,99.76,5264.0,3686.0,79.0,0,0,1
9.0,5250.0,99.76,5263.0,3686.0,80.0,0,0,1
9.5,5248.0,99.76,5261.0,3686.0,79.0,0,0,1
10.0,5243.0,99.76,5255.0,3686.0,79.0,0,0,1
10.5,5254.0,99.76,5267.0,3686.0,80.0,0,0,1
11.0,5245.0,99.76,5258.0,3686.0,80.0,0,0,1
11.5,5222.0,99.76,5235.0,3686.0,80.0,0,0,1
12.0,5213.0,99.76,5226.0,3686.0,80.0,0,0,1
12.5,5228.0,99.76,5241.0,3686.0,80.0,0,0,1
13.0,5226.0,99.76,5238.0,3686.0,79.0,0,0,1
13.5,5247.0,99.76,5259.0,3686.0,80.0,0,0,1
14.0,5244.0,99.66,5262.0,3686.0,77.0,0,0,1
