frame,render_ns,present_ns,total_ns,total_ticks
0,231711751,2460614,234172365,863251020
1,231732107,2435749,234167856,863234096
2,231941079,2440206,234381285,864020924
3,231457059,2367525,233824584,861968640
4,230347785,2315987,232663772,857689408
5,230597528,2343868,232941396,858712880
6,231187311,2320994,233508305,860802810
7,230336543,2351087,232687630,857777356
8,230789728,2298674,233088402,859254878
9,222589912,2298459,224888371,829026252
10,223612400,2279581,225891981,832725956
11,230707974,2317089,233025063,859021292
12,231488294,2319788,233808082,861908056
13,231697980,2303073,234001053,862619148
14,228670051,2309778,230979829,851481736
15,220395998,2281557,222677555,820876310
16,227783658,4021461,231805119,854524194
17,232061746,555330,232617076,857517252
18,231848390,560619,232409009,856750218
19,225458851,534953,225993804,833101276
20,231738917,542723,232281640,856280726
21,232196181,636279,232832460,858311232
22,232913586,673900,233587486,861094544
23,231949746,645990,232595736,857438564
24,231898234,557775,232456009,856923482
25,231370876,564923,231935799,855005782
26,230156139,527220,230683359,850388804
27,229832227,558322,230390549,849309426
28,230223881,549256,230773137,850719758
29,232331560,545386,232876946,858475216
