elapsed_s,freq_mhz,busy_pct,bzy_mhz,tsc_mhz,temp_c,core_throttle_count,package_throttle_count,sampled_cpu_count
0.5,3601.0,69.59,5175.0,3686.0,80.0,0,0,1
1.0,5166.0,99.76,5179.0,3686.0,79.0,0,0,1
1.5,5181.0,99.76,5194.0,3686.0,80.0,0,0,1
2.0,5195.0,99.76,5208.0,3686.0,80.0,0,0,1
2.5,5190.0,99.76,5203.0,3686.0,79.0,0,0,1
3.0,5152.0,99.76,5164.0,3686.0,80.0,0,0,1
3.5,5180.0,99.76,5192.0,3686.0,80.0,0,0,1
4.0,5182.0,99.76,5194.0,3686.0,80.0,0,0,1
4.5,5187.0,99.76,5200.0,3686.0,79.0,0,0,1
5.0,5206.0,99.76,5219.0,3686.0,80.0,0,0,1
5.5,5214.0,99.76,5226.0,3686.0,80.0,0,0,1
6.0,5219.0,99.76,5231.0,3686.0,80.0,0,0,1
6.5,5218.0,99.76,5231.0,3686.0,79.0,0,0,1
7.0,5218.0,99.76,5231.0,3686.0,80.0,0,0,1
7.5,5225.0,99.76,5237.0,3686.0,79.0,0,0,1
8.0,5223.0,99.76,5236.0,3686.0,79.0,0,0,1
8.5,5228.0,99.76,5241.0,3686.0,80.0,0,0,1
9.0,5235.0,99.76,5247.0,3686.0,80.0,0,0,1
9.5,5232.0,99.76,5245.0,3686.0,79.0,0,0,1
10.0,5213.0,99.76,5225.0,3686.0,79.0,0,0,1
10.5,5232.0,99.76,5245.0,3686.0,79.0,0,0,1
11.0,5230.0,99.76,5243.0,3686.0,79.0,0,0,1
11.5,5228.0,99.76,5241.0,3686.0,79.0,0,0,1
12.0,5234.0,99.76,5247.0,3686.0,80.0,0,0,1
12.5,5229.0,99.76,5242.0,3686.0,80.0,0,0,1
13.0,5234.0,99.76,5247.0,3686.0,79.0,0,0,1
13.5,5244.0,99.76,5256.0,3686.0,80.0,0,0,1
14.0,5244.0,99.76,5257.0,3686.0,79.0,0,0,1
14.5,4411.0,85.47,5160.0,3687.0,78.0,0,0,1
