elapsed_s,freq_mhz,busy_pct,bzy_mhz,tsc_mhz,temp_c,core_throttle_count,package_throttle_count,sampled_cpu_count
0.5,3447.0,65.22,5285.0,3686.0,80.0,0,0,1
1.0,5260.0,99.76,5273.0,3686.0,79.0,0,0,1
1.5,5235.0,99.76,5248.0,3686.0,80.0,0,0,1
2.0,5253.0,99.76,5266.0,3686.0,80.0,0,0,1
2.5,5249.0,99.76,5262.0,3686.0,80.0,0,0,1
3.0,5244.0,99.76,5257.0,3686.0,80.0,0,0,1
3.5,5257.0,99.76,5270.0,3686.0,79.0,0,0,1
4.0,5218.0,99.76,5231.0,3686.0,80.0,0,0,1
4.5,5263.0,99.76,5276.0,3686.0,79.0,0,0,1
5.0,5266.0,99.76,5278.0,3686.0,79.0,0,0,1
5.5,5269.0,99.76,5282.0,3686.0,80.0,0,0,1
6.0,5267.0,99.76,5280.0,3686.0,79.0,0,0,1
6.5,5273.0,99.76,5285.0,3686.0,79.0,0,0,1
7.0,5273.0,99.76,5286.0,3686.0,79.0,0,0,1
7.5,5276.0,99.76,5289.0,3686.0,80.0,0,0,1
8.0,5218.0,99.76,5231.0,3686.0,80.0,0,0,1
8.5,5236.0,99.76,5249.0,3686.0,80.0,0,0,1
9.0,5244.0,99.76,5257.0,3686.0,80.0,0,0,1
9.5,5245.0,99.76,5258.0,3686.0,80.0,0,0,1
10.0,5251.0,99.76,5263.0,3686.0,80.0,0,0,1
10.5,5251.0,99.76,5264.0,3686.0,79.0,0,0,1
11.0,5253.0,99.76,5266.0,3686.0,80.0,0,0,1
11.5,5251.0,99.76,5263.0,3686.0,79.0,0,0,1
12.0,5255.0,99.76,5268.0,3686.0,80.0,0,0,1
12.5,5260.0,99.76,5273.0,3686.0,79.0,0,0,1
13.0,5257.0,99.76,5270.0,3686.0,80.0,0,0,1
13.5,5260.0,99.76,5272.0,3686.0,80.0,0,0,1
14.0,5262.0,99.76,5275.0,3686.0,79.0,0,0,1
14.5,5265.0,99.76,5278.0,3686.0,80.0,0,0,1
15.0,5258.0,99.76,5271.0,3686.0,79.0,0,0,1
15.5,5259.0,99.76,5272.0,3686.0,80.0,0,0,1
16.0,5261.0,99.76,5274.0,3686.0,79.0,0,0,1
16.5,5262.0,99.76,5274.0,3686.0,80.0,0,0,1
17.0,5265.0,99.76,5277.0,3686.0,79.0,0,0,1
17.5,5267.0,99.76,5280.0,3686.0,79.0,0,0,1
18.0,5265.0,99.76,5278.0,3686.0,79.0,0,0,1
18.5,5264.0,99.76,5276.0,3686.0,79.0,0,0,1
19.0,5262.0,99.76,5275.0,3686.0,79.0,0,0,1
19.5,5269.0,99.76,5281.0,3686.0,82.0,0,0,1
20.0,5267.0,99.76,5280.0,3686.0,80.0,0,0,1
20.5,5268.0,99.76,5281.0,3686.0,80.0,0,0,1
21.0,5267.0,99.76,5280.0,3686.0,79.0,0,0,1
21.5,5261.0,99.76,5274.0,3686.0,80.0,0,0,1
22.0,5267.0,99.76,5280.0,3686.0,79.0,0,0,1
22.5,5262.0,99.76,5275.0,3686.0,80.0,0,0,1
23.0,5252.0,99.76,5265.0,3686.0,79.0,0,0,1
23.5,5253.0,99.76,5266.0,3686.0,80.0,0,0,1
24.0,5251.0,99.76,5264.0,3686.0,79.0,0,0,1
24.5,5263.0,99.76,5276.0,3686.0,80.0,0,0,1
25.0,5265.0,99.76,5278.0,3686.0,79.0,0,0,1
25.5,5270.0,99.76,5282.0,3686.0,79.0,0,0,1
26.0,5266.0,99.76,5279.0,3686.0,80.0,0,0,1
26.5,5266.0,99.76,5279.0,3686.0,80.0,0,0,1
27.0,5262.0,99.76,5274.0,3686.0,79.0,0,0,1
27.5,5267.0,99.76,5279.0,3686.0,80.0,0,0,1
28.0,5268.0,99.76,5281.0,3686.0,79.0,0,0,1
28.5,5257.0,99.48,5284.0,3686.0,75.0,0,0,1
