frame,ticks,ns
0,38375378,10385582
1,41606268,11286377
2,40948246,11107894
3,38986674,10575702
4,38708210,10500167
5,37653888,10214237
6,37711132,10229716
7,41479626,11252007
8,36996630,10035867
9,38565874,10461542
10,39956142,10838630
11,37569050,10191067
12,39608756,10744530
13,38848846,10538297
14,37454216,10159992
15,38336468,10399327
16,39190232,10630913
17,38605572,10472303
18,39603552,10743112
19,37174054,10084010
20,37542452,10183918
21,39123688,10612927
22,41793110,11336980
23,39086576,10602795
24,38536760,10453675
25,40647710,11026262
26,39222032,10639530
27,38369622,10408348
28,39799506,10796284
29,39252916,10647964
30,37458400,10161154
31,41318088,11208161
32,39875922,10817007
33,37629190,10207490
34,39087194,10602940
35,38030960,10316439
36,39848092,10809392
37,37494024,10170816
38,39257312,10649096
39,40617206,11017966
40,37764038,10244064
41,40032262,10859391
42,37719082,10231877
43,38245908,10374757
44,37242328,10102495
45,39860228,10812614
46,38572046,10463222
47,39021276,10585068
48,39928320,10831149
49,38661906,10487607
50,38670548,10489951
51,38926656,10559398
52,41024278,11128392
53,39523100,10721179
54,38464426,10434104
55,39564358,10732417
56,39318790,10665764
57,40787012,11064067
58,38211572,10365418
59,40461748,10975818
60,37434610,10154681
61,36957084,10025132
62,38422818,10422750
63,37942590,10292450
64,39266274,10651544
65,40405030,10960436
66,40157606,10893392
67,39379972,10682421
68,38954614,10566984
69,40827118,11074920
70,37966304,10298901
71,38827212,10532423
72,39966656,10841531
73,38493648,10441938
74,38983440,10574793
75,38655124,10485743
76,38379662,10411016
77,40450952,10972907
78,40351848,10946027
79,39041652,10590622
80,37742634,10238242
81,40707702,11042628
82,37535706,10182150
83,39656702,10757438
84,37499368,10172253
85,40908380,11097067
86,38413924,10420159
87,41034890,11131350
88,37535194,10181949
89,37879492,10275379
90,39189570,10630830
91,36429476,9882064
92,38312152,10392752
93,39179208,10627905
94,38210416,10365141
95,38139438,10345836
96,38169640,10354044
97,37359364,10134333
98,38948188,10565342
99,39205466,10635151
100,37177496,10084959
101,38586898,10467253
102,40090314,10875131
103,37572130,10192009
104,38129242,10343167
105,38332594,10398300
106,38922556,10558310
107,38350522,10403139
108,38122920,10341387
109,37000186,10036855
110,37307314,10120150
111,38761728,10514740
112,37485344,10168437
113,38673184,10490647
114,39260160,10649864
115,39023744,10585752
116,40341716,10943229
117,38712706,10501379
118,38744060,10509846
119,37893636,10279031
120,38992690,10577311
121,36893194,10007796
122,38161956,10351986
123,38647712,10483797
124,39060612,10595789
125,39759608,10785418
126,40248146,10917898
127,37761928,10243477
128,40045294,10862942
129,38333330,10398486
130,39243060,10645290
131,39080016,10601065
132,37852526,10268007
133,39394694,10686253
134,40070230,10869633
135,41251330,11190083
136,39184930,10629565
137,39435014,10697330
138,40247576,10917736
139,38157708,10350860
140,41190644,11173570
141,39985770,10846778
142,39117100,10611110
143,39127074,10613781
144,39211824,10636724
145,38257082,10377700
146,38885980,10548204
147,38725342,10504853
148,39636936,10752170
149,37404320,10146470
150,38771835,10517465
151,40326836,10939313
152,38406336,10418355
153,39795234,10795119
154,39363586,10678024
155,37290847,10115685
156,39344226,10672670
157,39233118,10642603
158,37256574,10106426
159,39090908,10604056
160,39644934,10754279
161,39493508,10713147
162,36913808,10013376
163,37543150,10184140
164,39303178,10661639
165,38429322,10424517
166,39239774,10644326
167,39876890,10817198
168,36107468,9794654
169,38620858,10476492
170,38742300,10509416
171,38321406,10394942
172,39850518,10810008
173,36808334,9984805
174,39574122,10735115
175,38762990,10515109
176,38515588,10447942
177,38669112,10489579
178,39500062,10714962
179,40260484,10921251
180,38069614,10326951
181,35304462,9576861
182,37121476,10069741
183,38584086,10466557
184,39600040,10742082
185,38560620,10460097
186,39104720,10607733
187,37661196,10216141
188,39016002,10583642
189,39879402,10817897
190,39075852,10599841
191,37869290,10272615
192,38779596,10519588
193,38648020,10483888
194,37299278,10118029
195,38707142,10499875
196,37646068,10212052
197,38002112,10308646
198,38090068,10332457
199,38765202,10515614
200,38679424,10492377
201,39362760,10677685
202,38941246,10563374
203,40353012,10946344
204,38592020,10468696
205,37940496,10291938
206,38184266,10358028
207,38950652,10565896
208,38141672,10346484
209,37704376,10227864
210,38272930,10382106
211,41345938,11215779
212,37590104,10196888
213,40648120,11026405
214,39159510,10622591
215,38683538,10493457
216,41375502,11223779
217,36848798,9995840
218,38616738,10475369
219,38389402,10413669
220,40080614,10872513
221,40154020,10892379
222,39806132,10797986
223,40933402,11103791
224,39317594,10665546
225,38765774,10515805
226,40866850,11085747
227,38589590,10468002
228,37452272,10159479
229,39282206,10655817
230,41334564,11212531
231,40352664,10946298
232,37542080,10183840
233,38411306,10419616
234,37886414,10277229
235,39231392,10642118
236,38863788,10542362
237,41455908,11245543
238,37948808,10294212
239,37308942,10120584
