frame,ticks,ns
0,39332248,10656887
1,38397542,10415868
2,40835270,11077252
3,37453940,10160013
4,39711918,10772481
5,40480838,10981054
6,38763926,10515269
7,37842596,10265357
8,37523954,10178909
9,36665516,9946018
10,38607922,10472928
11,38406668,10418334
12,38044450,10319983
13,40462232,10975977
14,39924260,10830069
15,39577526,10735996
16,38513514,10447386
17,39632122,10750767
18,39901670,10823882
19,37991190,10305686
20,38410652,10419489
21,40668076,11031784
22,38254670,10377158
23,38375488,10409948
24,41970388,11385082
25,40112148,10880951
26,38477110,10437446
27,40452694,10973374
28,40162750,10894735
29,38924016,10558677
30,38570672,10462905
31,38775468,10518413
32,38152400,10349345
33,37725036,10233451
34,39362354,10677623
35,40690806,11037981
36,38550354,10457322
37,40370302,10951040
38,39637152,10752159
39,37997752,10307464
40,41892916,11364063
41,37489632,10169481
42,37823492,10260186
43,39165332,10624162
44,38877352,10546065
45,44425666,12051092
46,39148264,10619568
47,38900986,10552529
48,39332356,10669486
49,38105678,10336739
50,38041044,10319206
51,38283342,10384967
52,38304542,10390664
53,38523106,10449979
54,38128232,10342902
55,39440000,10698715
56,38555126,10458680
57,39680692,10764052
58,38424054,10423092
59,37427036,10152614
60,40773280,11060422
61,39182358,10628789
62,38773268,10517791
63,39507414,10716997
64,40020088,10856110
65,40202974,10905645
66,39105428,10607898
67,38120574,10340715
68,40734592,11049851
69,38835742,10534758
70,39996692,10849719
71,39823634,10802745
72,40712386,11043787
73,36184198,9815479
74,37420920,10151000
75,38421080,10422297
76,38632224,10479510
77,38779086,10519436
78,39211464,10636724
79,37886194,10277098
80,39298598,10660322
81,37546274,10184988
82,38273894,10382379
83,40014318,10854534
84,37060756,10053272
85,38521101,10449412
86,41258096,11191934
87,39830517,10804596
88,40218824,10909991
89,39957678,10839048
90,37964418,10298408
91,37617898,10203995
92,40486806,10982715
93,38923608,10558624
94,38080514,10329867
95,38516682,10448264
96,39333608,10669870
97,37443906,10157230
98,38418858,10421630
99,39098970,10606216
100,37286408,10114390
101,39815820,10800651
102,39442838,10699481
103,39706488,10770942
104,38402480,10417189
105,38921420,10557990
106,37853322,10268121
107,38354736,10404242
108,37652380,10213777
109,37640834,10210674
110,38744534,10510042
111,37818058,10258773
112,38353666,10403972
113,39805222,10797809
114,38256084,10377507
115,37652878,10213835
116,38568506,10462325
117,38356450,10404810
118,37407474,10147337
119,40164196,10895145
120,37823718,10260218
121,38112368,10338548
122,38642674,10482377
123,39308168,10662886
124,39528606,10722768
125,40864799,11085199
126,40956548,11110134
127,38833900,10534335
128,39059983,10595591
129,38100138,10335184
130,37686948,10223065
131,38980266,10574000
132,40503514,10987212
133,37545908,10184942
134,37946702,10293622
135,39088150,10603262
136,39998470,10850242
137,38762854,10514990
138,38011338,10311136
139,37083620,10059474
140,38779966,10519685
141,38765902,10515834
142,37787800,10250560
143,39472336,10707523
144,38120520,10340795
145,38644060,10482731
146,40355044,10946834
147,38142650,10346795
148,39326354,10667868
149,37141890,10075260
150,38050238,10321699
151,38420982,10422224
152,37723310,10232998
153,40406604,10960858
154,38859490,10541236
155,40195308,10903644
156,38791656,10522772
157,39743024,10780844
158,38052144,10322138
159,39214088,10637362
160,37018736,10041821
161,38559724,10459826
162,38560920,10460290
163,38045148,10320310
164,38701506,10498250
165,39007842,10581436
166,39662054,10758902
167,36717304,9960098
168,38860546,10541549
169,39150926,10620262
170,39042594,10590796
171,39024836,10586046
172,38160144,10351439
173,44839642,12163470
174,38956502,10567601
175,37982712,10303224
176,39796870,10795463
177,37591260,10197166
178,38559886,10459940
179,38652996,10485222
180,39258298,10649391
181,40538290,10996571
182,39958796,10839201
183,38450068,10430136
184,39373114,10680533
185,39235384,10643165
186,39798774,10796049
187,38446506,10429155
188,38253284,10376760
189,39146434,10619034
190,38468522,10435204
191,35325056,9582414
192,37777278,10247684
193,39212424,10636951
194,38997092,10578573
195,38287254,10386044
196,39294069,10659161
197,39451747,10701936
198,38060578,10324485
199,38484334,10439390
200,37208358,10093265
201,40462182,10975942
202,37992750,10306019
203,39343876,10672544
204,40004208,10851686
205,38071252,10327368
206,39626062,10749151
207,40015028,10854631
208,38375496,10409908
209,38643432,10482633
210,40493154,10984392
211,38536776,10453710
212,38106104,10336829
213,37490036,10169679
214,35281267,9570535
215,40311753,10935233
216,39145582,10618891
217,37130576,10072223
218,41277556,11197196
219,37980378,10302746
220,39787078,10792887
221,38662098,10487732
222,37848000,10266847
223,38003772,10309061
224,40025394,10857565
225,39319044,10665901
226,39067020,10597495
227,36433328,9883048
228,38250238,10375914
229,37836896,10263701
230,38559706,10459882
231,39831720,10804921
232,40086608,10874125
233,36953466,10024184
234,39733948,10778458
235,37839958,10264706
236,39562690,10732037
237,38893470,10550421
238,38816142,10529411
239,39805294,10797713
