frame,ticks,ns
0,397505408,107813764
1,392452142,106459728
2,391532222,106210184
3,391593914,106226925
4,393278784,106683971
5,395657820,107329327
6,389587032,105682518
7,390120584,105827260
8,394105752,106908310
9,391565824,106219299
10,391427258,106181710
11,395513412,107290152
12,391419924,106179721
13,389684944,105709076
14,397611474,107859287
15,387803458,105198584
16,391091788,106090708
17,396192296,107474283
18,389188028,105574276
19,391082334,106088144
20,391734268,106264992
21,394076086,106900257
22,391688972,106252704
23,392985422,106604401
24,393905334,106853933
25,392537910,106482994
26,390228838,105856607
27,392763440,106544172
28,392706340,106528685
29,395879254,107389396
30,392869696,106572997
31,390821034,106017260
32,392413128,106449148
33,389945626,105779791
34,391905490,106311439
35,395508606,107288855
36,392649680,106513312
37,394337328,106971127
38,391827896,106290391
39,391569992,106220439
40,391728392,106263397
41,395263614,107222392
42,398148212,108004892
43,392609432,106502397
44,393166060,106653381
45,391580406,106223264
46,392062052,106353907
47,390547138,105942962
48,400593948,108668330
49,392472546,106465258
50,390462622,105920035
51,392391134,106443171
52,390065952,105812431
53,389456464,105647096
54,410446976,111341156
55,417914350,113366826
56,407726444,110603161
57,393075384,106628793
58,389879128,105761753
59,388538114,105397979
60,398058712,107980608
61,388912468,105499528
62,390387156,105899562
63,390544338,105942212
64,389216394,105581973
65,400713592,108700806
66,399787258,108449512
67,404082480,109614667
68,399481084,108366457
69,398765832,108172433
70,397538958,107839629
71,397516858,107833623
72,399562442,108388527
73,398512358,108103681
74,389857856,105755981
75,388933584,105505254
76,391571578,106220860
77,388822012,105474989
78,398009412,107967238
79,388512630,105391073
80,394056834,106894922
81,389512846,105662391
82,387422724,105095408
83,391544020,106213393
84,387585184,105139488
85,392025498,106343993
86,386936384,104963479
87,395098130,107177500
88,388123950,105285628
89,389667926,105704459
90,391816776,106287373
91,387308682,105064471
92,391602888,106229364
93,387602742,105144227
94,393132144,106644192
95,392331734,106427066
96,390066630,105812597
97,396928428,107674002
98,387477322,105110219
99,389992640,105792555
100,386903638,104954596
101,387945090,105237098
102,392313748,106422183
103,387429028,105097127
104,393739484,106808943
105,387077808,105001843
106,392517988,106477591
107,387131844,105016500
108,387996086,105250944
109,403129230,109356083
110,387770554,105189763
111,394421270,106993900
112,389175642,105570921
113,393204994,106663938
114,390361224,105892529
115,387185086,105030953
116,394058122,106895381
117,410020312,111225414
118,403513412,109460296
119,420700598,114122634
120,402122518,109082981
121,397699532,107883163
122,410495470,111354310
123,395483050,107281920
124,401130696,108813947
125,405655258,110041312
126,391085954,106089134
127,404523362,109734277
128,395470116,107278419
129,390368852,105894598
130,393342564,106701271
131,392264472,106408827
132,389800396,105740396
133,395968714,107413647
134,396760180,107628365
135,392591448,106497517
136,392280472,106413161
137,390298070,105875401
138,397115324,107724687
139,402943926,109305803
140,395946546,107407651
141,390107064,105823584
142,396518456,107562789
143,391949886,106323482
144,389097084,105549476
145,392844340,106566120
146,391070486,106084940
147,403250490,109388962
148,407364468,110504891
149,404665004,109772687
150,403758416,109526761
151,412454298,111885655
152,404970470,109855538
153,403480140,109451239
154,407721996,110601956
155,390963034,106055787
156,389394416,105630264
157,404362680,109690677
158,391389130,106171367
159,389383986,105627428
160,393461362,106733483
161,389130324,105558625
162,393633368,106780168
163,387449732,105102734
164,395101596,107178441
165,388627810,105422311
166,387662502,105160461
167,392486804,106469131
168,387385532,105085328
169,395185936,107201318
170,387202674,105035724
171,394580986,107037219
172,386971046,104972865
173,387459430,105105374
174,392682026,106522090
175,387929314,105232838
176,401183072,108828152
177,388648574,105427952
178,394120548,106912312
179,387643904,105155415
180,387829458,105205742
181,393538666,106754478
182,388642050,105426172
183,393889322,106849590
184,388942556,105507690
185,396750318,107625671
186,408885954,110917698
187,390918022,106043570
188,398993062,108234073
189,387558358,105132201
190,391112214,106096247
191,387465756,105107080
192,391628860,106236393
193,397127690,107728064
194,388630894,105423145
195,394849580,107110076
196,388282262,105328572
197,393290516,106687153
198,387689454,105167762
199,387914384,105228779
200,394612328,107045632
201,387531120,105124620
202,393503012,106744797
203,387639948,105154342
204,393801962,106825890
205,387520498,105121905
206,388189024,105303280
207,390680414,105979116
208,387330134,105070291
209,394153802,106921334
210,388173410,105299045
211,395283514,107227790
212,387656194,105158751
213,388509520,105390221
214,392080650,106358956
215,387722604,105176760
216,405991536,110132535
217,391590966,106226121
218,393779744,106819874
219,388693454,105440115
220,387965158,105242554
221,395963356,107412219
222,386967736,104971968
223,394393692,106986418
224,386968578,104972223
225,406492432,110268407
226,404480904,109722756
227,400699828,108697046
228,401753856,108982991
229,398700086,108154606
230,407488708,110538673
231,401763640,108985652
232,403422668,109435694
233,403586756,109480178
234,408046496,110689963
235,405248532,109930989
236,405168030,109909147
237,394868122,107115106
238,395715192,107344891
239,388859572,105485177
