elapsed_s,freq_mhz,busy_pct,bzy_mhz,tsc_mhz,temp_c,core_throttle_count,package_throttle_count,sampled_cpu_count
0.5,3628.0,71.06,5106.0,3686.0,82.0,0,0,1
1.0,5087.0,99.76,5099.0,3686.0,82.0,0,0,1
1.5,5091.0,99.76,5103.0,3686.0,82.0,0,0,1
2.0,5074.0,99.76,5087.0,3686.0,80.0,0,0,1
2.5,5102.0,99.76,5114.0,3686.0,82.0,0,0,1
3.0,5105.0,99.76,5117.0,3686.0,80.0,0,0,1
3.5,5116.0,99.76,5128.0,3686.0,80.0,0,0,1
4.0,5120.0,99.76,5132.0,3686.0,80.0,0,0,1
4.5,5126.0,99.76,5138.0,3686.0,80.0,0,0,1
5.0,5129.0,99.76,5142.0,3686.0,80.0,0,0,1
5.5,5128.0,99.76,5141.0,3686.0,80.0,0,0,1
6.0,5144.0,99.76,5157.0,3686.0,80.0,0,0,1
6.5,5128.0,99.76,5141.0,3686.0,80.0,0,0,1
7.0,5132.0,99.76,5145.0,3686.0,79.0,0,0,1
7.5,5143.0,99.76,5156.0,3686.0,82.0,0,0,1
8.0,5160.0,99.76,5173.0,3686.0,80.0,0,0,1
8.5,5162.0,99.76,5175.0,3686.0,82.0,0,0,1
9.0,5173.0,99.76,5186.0,3686.0,80.0,0,0,1
9.5,5179.0,99.76,5191.0,3686.0,80.0,0,0,1
10.0,5184.0,99.76,5196.0,3686.0,80.0,0,0,1
10.5,5188.0,99.76,5200.0,3686.0,80.0,0,0,1
11.0,5194.0,99.76,5206.0,3686.0,79.0,0,0,1
11.5,5200.0,99.76,5213.0,3686.0,80.0,0,0,1
12.0,5202.0,99.76,5215.0,3686.0,80.0,0,0,1
12.5,5205.0,99.76,5218.0,3686.0,79.0,0,0,1
13.0,5206.0,99.76,5219.0,3686.0,80.0,0,0,1
13.5,5188.0,99.76,5201.0,3686.0,79.0,0,0,1
14.0,5196.0,99.76,5209.0,3686.0,79.0,0,0,1
14.5,5204.0,99.76,5217.0,3686.0,80.0,0,0,1
15.0,5208.0,99.76,5221.0,3686.0,80.0,0,0,1
15.5,5208.0,99.76,5221.0,3686.0,79.0,0,0,1
16.0,5210.0,99.76,5223.0,3686.0,80.0,0,0,1
16.5,5219.0,99.76,5231.0,3686.0,80.0,0,0,1
17.0,5222.0,99.76,5235.0,3686.0,80.0,0,0,1
17.5,5224.0,99.76,5236.0,3686.0,79.0,0,0,1
18.0,5227.0,99.76,5240.0,3686.0,79.0,0,0,1
18.5,5232.0,99.76,5245.0,3686.0,79.0,0,0,1
19.0,5235.0,99.76,5247.0,3686.0,80.0,0,0,1
19.5,5237.0,99.76,5249.0,3686.0,79.0,0,0,1
20.0,5241.0,99.76,5254.0,3686.0,79.0,0,0,1
20.5,5238.0,99.76,5251.0,3686.0,79.0,0,0,1
21.0,5246.0,99.76,5258.0,3686.0,79.0,0,0,1
21.5,5246.0,99.76,5259.0,3686.0,79.0,0,0,1
22.0,5248.0,99.76,5261.0,3686.0,79.0,0,0,1
22.5,5235.0,99.76,5248.0,3686.0,80.0,0,0,1
23.0,5247.0,99.76,5260.0,3686.0,79.0,0,0,1
23.5,5252.0,99.76,5265.0,3686.0,79.0,0,0,1
24.0,5254.0,99.76,5267.0,3686.0,80.0,0,0,1
24.5,5249.0,99.76,5262.0,3686.0,80.0,0,0,1
25.0,5253.0,99.76,5266.0,3686.0,79.0,0,0,1
25.5,5246.0,99.76,5259.0,3686.0,79.0,0,0,1
26.0,5242.0,99.76,5255.0,3686.0,80.0,0,0,1
26.5,5249.0,99.76,5262.0,3686.0,79.0,0,0,1
27.0,5259.0,99.76,5272.0,3686.0,79.0,0,0,1
27.5,5206.0,99.76,5219.0,3686.0,82.0,0,0,1
28.0,5236.0,99.76,5248.0,3686.0,79.0,0,0,1
28.5,5214.0,99.51,5240.0,3686.0,78.0,0,0,1
