frame,ticks,ns
0,37115436,10049997
1,39408468,10690095
2,37872530,10273475
3,38051796,10322077
4,39857284,10811842
5,39631850,10750723
6,37846012,10266053
7,38395414,10415329
8,39086150,10602618
9,37863464,10270982
10,41370602,11222434
11,38520624,10449305
12,39234366,10642866
13,38835660,10534703
14,39452054,10701979
15,41019324,11127175
16,39155190,10621398
17,37894976,10279605
18,40765054,11058120
19,39160270,10622728
20,38784854,10520957
21,40262138,10921702
22,40343256,10943692
23,39089890,10603692
24,39466134,10705839
25,37744825,10238906
26,38812905,10528649
27,38556348,10459009
28,40195722,10903732
29,39307466,10662803
30,39297809,10660105
31,40253411,10919381
32,41057908,11137587
33,39731114,10777623
34,39174500,10626624
35,38395616,10415364
36,35547314,9642645
37,37244816,10103219
38,38505702,10445257
39,35168276,9539911
40,43117262,11696279
41,39015884,10583683
42,38373002,10409238
43,37604312,10200783
44,40654948,11028344
45,38990550,10576807
46,37580164,10194183
47,38838836,10535546
48,38160282,10351277
49,37039772,10047537
50,40062370,10867501
51,39414994,10691921
52,37980534,10302779
53,39768332,10787722
54,38866096,10543006
55,37619518,10204878
56,39613986,10745841
57,39583590,10737704
58,37121188,10069744
59,35992494,9763521
60,38354978,10404353
61,39983100,10845978
62,41204226,11177198
63,39304730,10661974
64,37632596,10208405
65,37834978,10263286
66,38741474,10509073
67,39641234,10753238
68,38123054,10341396
69,39467298,10706041
70,38750970,10511705
71,39180790,10628313
72,38430160,10424722
73,37101448,10064282
74,38510308,10446513
75,39404044,10688966
76,40421242,10964890
77,39459128,10703897
78,39242336,10645025
79,37968712,10299525
80,37954920,10295789
81,39045246,10591526
82,37663958,10216872
83,37700822,10226892
84,35019938,9499592
85,38514702,10447662
86,39159610,10622666
87,38806564,10526847
88,40978948,11116136
89,38765916,10515800
90,38322990,10395728
91,35369028,9594370
92,38916864,10556775
93,38954242,10566912
94,37039006,10047419
95,39373594,10680751
96,40698658,11040089
97,38777224,10518894
98,39546146,10727415
99,39669634,10760962
100,37467060,10163501
101,39243030,10645215
102,40975066,11115122
103,40675620,11033937
104,40039644,10861373
105,38720796,10503584
106,39387448,10684477
107,37341816,10129573
108,37284632,10114042
109,38198982,10362047
110,38139376,10345880
111,38101032,10335516
112,39116084,10610804
113,36905958,10011242
114,38327912,10397025
115,40147752,10890724
116,39218976,10638809
117,37240618,10102143
118,38186520,10358652
119,40432028,10967746
120,37897000,10280099
121,38704370,10499102
122,37262120,10107878
123,38946214,10564706
124,38383142,10412030
125,37488050,10169228
126,38428320,10424245
127,37621802,10205493
128,39670710,10761229
129,39209580,10636104
130,38411144,10419571
131,38933552,10561272
132,39196554,10632609
133,38940644,10563232
134,37886762,10277328
135,40868400,11086156
136,39257784,10649302
137,35942980,9750128
138,39195632,10632479
139,37957800,10296632
140,38878128,10546218
141,39423596,10694172
142,40341770,10943271
143,38835980,10534793
144,40351966,10946128
145,39755300,10784288
146,39587784,10738790
147,39004132,10580478
148,37683210,10222126
149,39884042,10819110
150,38582562,10466092
151,40139396,10888392
152,37724552,10233391
153,37875660,10274333
154,35168590,9539984
155,41095663,11147859
156,41543376,11269326
157,40436743,10969144
158,38799734,10525065
159,39176644,10627266
160,37389436,10142372
161,39526899,10722325
162,39600768,10742358
163,38757634,10513645
164,39653312,10756620
165,41148318,11162163
166,39516834,10719594
167,41561412,11274228
168,39052106,10593522
169,37948576,10294176
170,40463134,10976298
171,39788690,10793346
172,41183666,11171757
173,39861014,10812956
174,37941342,10292214
175,39607263,10743993
176,40458954,10975044
177,41220734,11181726
178,38120270,10340683
179,43394340,11771295
180,38746726,10510648
181,38543184,10455393
182,40705596,11041959
183,40040700,10861697
184,41927588,11373493
185,36408278,9876290
186,38566406,10461783
187,40287418,10928540
188,39162044,10623269
189,38325628,10396400
190,39974550,10843706
191,38106102,10336702
192,38488066,10440425
193,40688384,11037279
194,38166484,10353245
195,38460996,10433081
196,39837316,10806449
197,37746764,10239414
198,38727982,10505557
199,37207494,10093066
200,38447104,10429318
201,39361982,10677496
202,38818288,10530088
203,37704472,10227911
204,39236132,10643442
205,39283480,10656315
206,39548604,10728230
207,40893256,11092905
208,38875482,10545565
209,38823844,10531556
210,38435022,10426064
211,39219208,10638765
212,40088376,10874538
213,40543834,10998079
214,38600916,10471022
215,39344682,10672787
216,39774456,10789396
217,38468474,10435145
218,39066924,10597468
219,36775616,9975888
220,38407262,10418528
221,39744894,10781378
222,38732928,10506822
223,35826084,9718329
224,39271528,10652976
225,38419596,10421923
226,39248272,10646734
227,39792498,10794101
228,37935860,10290669
229,39699502,10769049
230,36821826,9988455
231,42654634,11570774
232,37626032,10206631
233,40874070,11087747
234,41763106,11328945
235,38769764,10516872
236,37338732,10128730
237,38105080,10336578
238,38634716,10480020
239,39285892,10656888
