frame,render_ns,present_ns,total_ns,total_ticks
0,7477271,879192,8356463,30806474
1,7405393,884628,8290021,30560662
2,7826224,874230,8700454,32073692
3,8158276,948201,9106477,33570464
4,7402779,947779,8350558,30783844
5,6644691,781717,7426408,27377104
6,8055432,951085,9006517,33201964
7,8097719,916820,9014539,33231440
8,7431637,950746,8382383,30901156
9,7381269,880848,8262117,30457780
10,7915003,919574,8834577,32568328
11,8084171,974589,9058760,33394552
12,7050124,741111,7791235,28722084
13,9369287,927287,10296574,37957904
14,8888975,1011252,9900227,36496520
15,7970059,907296,8877355,32725840
16,7491157,1121148,8612305,31748826
17,7255556,911885,8167441,30109052
18,7019242,738921,7758163,28600032
19,8007205,930527,8937732,32948432
20,7675581,945789,8621370,31782128
21,7847763,879576,8727339,32172762
22,6909303,903065,7812368,28799840
23,7839700,887416,8727116,32172088
24,8411894,886460,9298354,34277784
25,7384262,870342,8254604,30430232
26,7711637,948260,8659897,31924200
27,7564912,891138,8456050,31172780
28,7754413,844669,8599082,31700020
29,7649789,988091,8637880,31843008
30,8096783,931782,9028565,33283180
31,7601673,946042,8547715,31510732
32,7964648,872085,8836733,32576060
33,7880036,936889,8816925,32503052
34,7756182,974224,8730406,32184124
35,7944279,958264,8902543,32818628
36,7803685,981235,8784920,32385076
37,6728565,650678,7379243,27203346
38,9053320,909295,9962615,36726470
39,9929133,869267,10798400,39807520
40,7927922,908554,8836476,32575120
41,7635148,907740,8542888,31492788
42,7050893,839356,7890249,29086966
43,7176642,827997,8004639,29508684
44,7450548,933768,8384316,30908312
45,8091074,936738,9027812,33280460
46,7870992,1000482,8871474,32704096
47,8082550,963016,9045566,33345916
48,8018019,867232,8885251,32754856
49,7677781,1033634,8711415,32114062
50,7828820,948729,8777549,32357864
51,7963463,969851,8933314,32932114
52,8202923,926582,9129505,33655308
53,7927338,892722,8820060,32514564
54,7689527,871430,8560957,31559404
55,7597575,963476,8561051,31559796
56,7841622,878906,8720528,32147686
57,7628096,948941,8577037,31618686
58,7857200,917062,8774262,32345688
59,7697045,922478,8619523,31775284
