frame,ticks,ns
0,37391640,10117398
1,41671888,11304085
2,39316116,10665132
3,37737996,10237002
4,37766522,10244715
5,40443978,10971045
6,39071510,10598739
7,38716258,10502344
8,39978924,10844914
9,37387996,10142062
10,38145570,10347514
11,39385626,10683905
12,40145181,10890009
13,39121224,10612278
14,38379146,10410981
15,40261578,10921631
16,37818908,10259016
17,39603263,10742999
18,39072012,10598896
19,38510144,10446438
20,39534672,10724322
21,39525950,10721982
22,41911082,11369054
23,41059688,11138095
24,39563926,10732344
25,39662460,10759076
26,41532184,11266225
27,35204264,9549656
28,36678740,9949628
29,39422764,10693942
30,39502072,10715474
31,37282624,10113462
32,41650984,11298443
33,36241108,9830930
34,40595624,11012237
35,38819408,10530337
36,38862182,10541904
37,40292716,10929966
38,40284644,10927822
39,38075816,10328617
40,37712238,10229973
41,38116210,10339581
42,37459180,10161438
43,39320834,10666354
44,35249176,9561875
45,39132138,10615254
46,38008506,10310380
47,38520140,10449217
48,37652948,10213931
49,38904436,10553390
50,39249224,10646910
51,39111720,10609660
52,37782602,10249104
53,41059724,11138136
54,38712320,10501314
55,37470570,10164381
56,40250382,10918482
57,37995022,10306692
58,39994794,10849196
59,40195694,10903608
60,41306372,11204936
61,36865644,10000298
62,39420672,10693512
63,38350668,10403190
64,39431732,10696417
65,41747984,11324809
66,38057854,10323811
67,39161746,10623218
68,37694964,10225249
69,35871728,9730765
70,37729576,10234685
71,35217057,9553164
72,36718116,9960396
73,39053808,10593997
74,39691577,10766933
75,37586114,10195838
76,35250714,9562268
77,39260112,10649886
78,37748086,10239767
79,39989436,10847702
80,39003130,10580210
81,39750992,10783042
82,36604273,9929476
83,37112438,10067366
84,40390595,10956630
85,37755180,10241702
86,40644540,11025502
87,37080414,10058651
88,37097886,10063356
89,39718058,10774101
90,38617550,10475471
91,37590700,10197039
92,39026994,10586664
93,42936578,11647166
94,39436456,10697681
95,38851244,10538973
96,39680908,10764047
97,38675774,10491355
98,41549748,11270860
99,38765500,10515651
100,39250062,10647195
101,37932666,10289867
102,39678144,10763320
103,37847442,10266649
104,38618592,10475850
105,39039798,10590061
106,40107790,10879865
107,39147652,10619458
108,37611128,10202545
109,40597698,11012748
110,38486004,10439927
111,37809086,10256282
112,39876238,10817008
113,37796762,10252943
114,39179458,10628000
115,37658870,10215556
116,40024256,10857147
117,38005246,10309485
118,40253876,10919447
119,39313228,10664254
120,38002080,10308551
121,38291418,10387149
122,38708952,10500440
123,37842788,10265481
124,39267002,10651761
125,40470508,10978196
126,37872990,10273587
127,40173948,10897836
128,39716608,10773687
129,39164728,10624014
130,40165784,10895633
131,38650228,10484426
132,39086804,10602907
133,39080554,10601254
134,40384894,10955044
135,41492554,11255503
136,37713912,10230385
137,119869184,32516586
138,36713566,9959159
139,38856036,10540306
140,38553692,10458248
141,39399054,10687578
142,39761322,10785836
143,37102252,10064556
144,38501044,10443997
145,41002400,11122497
146,40279072,10926201
147,39832978,10805319
148,39949230,10836831
149,39053234,10593746
150,38011934,10311274
151,38800764,10525267
152,38826248,10532135
153,35705026,9685534
154,37831088,10262298
155,39717792,10774099
156,38745620,10510318
157,38149350,10348535
158,41161734,11165718
159,40026098,10857677
160,37902532,10281608
161,40383582,10954614
162,39045760,10591765
163,40411148,10962172
164,37816558,10258341
165,35054324,9508956
166,35577230,9650821
167,39131580,10615054
168,38368548,10408058
169,39696666,10768279
170,35265890,9566425
171,41868146,11357360
172,40513136,10989795
173,37824430,10260442
174,38327284,10396841
175,40540512,10997202
176,37829284,10261762
177,39699218,10768970
178,37156014,10079144
179,38862754,10542173
180,38937074,10562269
181,37926348,10288087
182,40486412,10982555
183,39359330,10676795
184,38008028,10310186
185,37291148,10115747
186,39919512,10828750
187,39826038,10803369
188,39639496,10752786
189,39593302,10740277
190,39443418,10699615
191,38230224,10370533
192,40170598,10896757
193,40505038,10987627
194,38893184,10550382
195,37754500,10241525
196,38419016,10421695
197,38939538,10562946
198,38241308,10373580
199,39139880,10617341
200,38567492,10461983
201,40555676,11001288
202,37859124,10269834
203,38220088,10367760
204,39135160,10615933
205,38608468,10473063
206,39291096,10658340
207,38816066,10529425
208,39671452,10761451
209,38579040,10465190
210,38560010,10460048
211,38504580,10444932
212,35098240,9520912
213,38844150,10537087
214,39069360,10598096
215,38983044,10574720
216,35109680,9523961
217,35579354,9651407
218,37697742,10226053
219,36855130,9997501
220,39391874,10685620
221,39809188,10798828
222,40224098,10911412
223,38902940,10552962
224,38357636,10405022
225,39550322,10728566
226,38438246,10426809
227,39851654,10810287
228,41331868,11211883
229,38576984,10464470
230,40146498,10890384
231,39997364,10849843
232,38734882,10507377
233,38170426,10354280
234,38092924,10333281
235,37740644,10237690
236,35643598,9668810
237,37693162,10224854
238,39059484,10595493
239,39134688,10615829
